row_label,col_1,col_2,col_3
All Cases,,Ruled Upon,11B
Received-Closed-Pending,1,Size of Units,17
Distribution of Intake:,5,Types of Elections Union-Shop Deauthorization,11
by Industry Geographic,6,Polls-Results of,12
,,Valid Votes Cast,14
Court Litigation,,,
Appellate Decisions,19A,Unfair Labor Practice Cases,
Enforcement and Review,19,Received-Closed-Pending,"1, IA"
Injunction Litigation,20,"Allegations, Types of",2
Miscellaneous Litigation,21,Disposition:,
,,by Method,7
Representation and Union,,by Stage,8
Deauthorization Cases,,Jurisdiction Dispute Cases,
General,,(Before Complaint),7A
Received-Closed-Pending,"1, 1B",Formal Actions Taken,3A
Disposition:,,Remedial Actions Taken,4
by Method,10,Size of Establishment,
by Stage,9,(Number of Employees)_,18
Formal Actions Taken,3B,,
,,Amendment of Certification,and
Elections,,Unit Clarification Cases,
Final Outcome,13,Received-Closed-Pending,1
Geographic Distribution,15,Disposition by Method,10A
Industrial Distribution,16,Formal Actions Taken,3C
Objections/Challenges:,,,
Elections Conducted,11 A,,
Dispositions,11D,Advisory Opinions,
Party Filing,11C,Received-Closed-Pending,22
Return Results,11E,Disposition by Method,22A
