row_label,col_1,col_2,col_3,col_4,col_5,col_6
"Decision on objections and/or challenges, total ...",458,445,400,4,41,5
By Regional Directors…………………………….,59,66,59,0,7,0
ByBoard…………………………………………..,399,379,341,4,34,5
In stipulated elections…………………………..,336,330,295,4,31,5
No exceptions to Regional Directors' reports,199,196,175,3,18,3
Exceptions to Regional Directors' reports ….,137,134,120,1,13,2
In directed elections (after transfer by Regional Director),63,49,46,0,3,0
Review of Regional Directors' supplemental decisions:,,,,,,
Request for review received ………………...,35,33,31,0,2,0
Withdrawn before request ruled upon………,1,1,1,0,0,0
"Board action on request ruled upon, total …..",37,35,32,0,3,2
Granted…………………………………,8,8,8,0,0,2
Denied………………………………….,25,24,21,0,3,0
Remanded………………………………,4,3,3,0,0,0
"Withdrawn after request granted, before Board review……………………………..",0,0,0,0,0,0
"Board decision after review, total …………...",3,3,3,0,0,0
Regional Directors' decisions: Affirmed…………………………….,1,1,1,0,0,0
Modified…………………………….,0,0,0,0,0,0
Reversed…………………………….,2,2,2,0,0,0
