row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15
Connecticut,768,649,488,149,2,3,,7,111,89,6,16,3,,4
Maine,148,107,79,26,,,,,35,20,5,10,3,0,3
Massachusetts,1196,843,622,158,39,18,3,,3 331,277,9,45,0,4,18
New Hampshire,77,62,51,11,,0,,,12,9,,3,1,,2
Rhode Island,124,100,72,21,4,3,,,24,23,,,0,,
Vermont,59,44,38,5,,0,,,13,9,,4,1,,
Region I,2372,1805,1350,370,46,25,3,8,3 526,427,20,79,8,5,28
Delaware,54,46,35,11,,0,,0,6,4,,2,2,,0
New Jersey,1469,1102,751,257,59,26,,2,6 349,289,14,46,7,,10
New York,3921,3172,1922,1125,75,15,8,1 26,708,581,34,93,6,,34
Puerto Rico,383,264,202,52,2,,0,8,113,96,3,14,,,5
Virgin Islands,21,19,17,2,,,0,0,2,1,,1,0,,0
Region II,5848,4603,"2,927 1,447",,136,41,9,11 32,1178,971,51,156,16,2,49
District of Columbia,216,169,121,47,,,,,45,40,2,3,,0,2
Maryland,800,667,455,204,4,2,2,,130,108,3,19,,1,2
Pennsylvania,2632,2124,1504,519,58,19,1,22,470,338,22,110,12,3,23
Virginia West Virginia,488 617,397,305 363,85 138,6 47,3,0 2,19,87 41,65 27,6 5,16 9,3,,3 1
III,4753,"572 3,929",2748,993,115,24,5,2 42,773,578,38,157,16,4,31
Region,,,,85,4,,,,83,70,,,,,
Alabama,397,313,221,,,,,,3,,3,10,,,1
Florida,866,714,553,138,16,5,,,2 151,115,5,31,,,1
Georgia,712,616,465,141,1,3,,,6 93,78,1,14,,,2
Kentucky,743,613,483,104,13,4,,,9 114,83,5,26,7,,9
Mississippi,183,139,104,34,1,0,,,43,28,1,14,0,,
North Carolina,349,294,234,60,0,0,,,55,44,0,11,0,,
