row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11
All representation elections,9795,944,9.6,334,3.4,188,1 9,1132,11.6,522,5 3
"By type of case,",,,,,,,,,,,
In RC cases,8608,862,10 0,291,3.4,169,2 0,1031,12 0,460,5.4
In RMcases,331,31,9 4,17,5.1,4,1 2,35,10.6,21,6.3
In RD cases,856,51,6 0,26,3.0,15,1 8,66,7.8,41,4.8
"By type of election,",,,,,,,,,,,
Consent elections,858,47,5 5,4,0 5,0,,47,5 5,4,0.5
Stipulated elections,7128,638,9.0,233,3 3,117,1.6,75.5,10 6,350,4 9
Expedited elections,24,5,20.8,0,,o,,5,20 8,o,
Regional director-directed elections,1721,250,14.5,83,4 8,61,3.5,311,18 0,144,8.3
Board-directed elections,64,4,6.3,14,21 9,10,15 6,14,21.9,24,37.5
