row_label,col_1,col_2,col_3,col_4,col_5,col_6
"Decision on objections and/or challenges, total",198,. 195,186,0,.9,i
By Regional Directors,39,37,34,o,3,o
By Board,457,445,403,4,38,6
In stipulated elections,410,403,361,4,38,5
No exceptions to Regional Directors' reports,218,216,191,2,23,4
Exceptions to Regional Directors' reports,192,187,170,2,15,
In directed elections (after transfer by Regional Director),40,35,35,0,0,
Review of Regional Directors' supplemental decisions,,,,,,
Request for review received,39,38,35,0,3,2
Withdrawn before request ruled upon,1,1,I,0,0,o
"Board action on request ruled upon, total",33,32,29,0,3,o
Granted,5,5,5,o,o,o
Denied,25,25,22,o,3,o
Remanded,3,2,2,o,o,o
"Withdrawn after request granted, before Board review",,0,0,0,0,o
"Board decision after review, total",7,7,7,0,o,o
Regional Directors' decisions,,,,,,
Affirmed,4,4,4,o,o,o
Modified,1,1,1,o,o,o
Reversed,2,2,. 2,o,o,o
