row_label,col_1,col_2,col_3,col_4
Cases decided by U.S. courts of appeals,125,100 0,1981,100 0
Board orders enforced in full,54,43 2,1163,58.7
Board orders enforced with modification,38,30.4,401,20.2
Remanded to Board,12,96,60,3.0
Board orders partially enforced and partially remanded_,1,.8,15,.8
Board orders set aside,20,160,342,173
Cases decided by U.S. Supreme Court,6,100.0,124,100.0
Board orders enforced in full,0,0,80,619
Board orders enforced with modification,1,167,12,99
Board orders set aside,4,667,20,169
Remanded to Board,0,0,2,1.7
Remanded to court of appeals,0,.0,7,58
Board's request for remand or modification of enforcement order denied,0,.0,1,.0
Contempt case remanded to court of appeals,1,16.6,1,.8
Contempt case enforced,0,.0,1,.0
