row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14
Missouri..........................................,38,18,11,6,1,20,1864,1565,781,273,474,34,784,837
Nebraska.........................................,9,5,2,3,0,4,937,757,498,9,489,0,259,663
North Dakota..................................,6,5,4,1,0,1,226,200,134,86,48,0,66,141
South Dakota..................................,1,1,1,0,0,0,14,10,10,10,0,0,0,14
West North Central....................,125,64,42,20,2,61,7088,6127,3193,1249,1805,139,2934,3249
Arkansas.........................................,6,3,1,2,0,3,756,653,393,19,374,0,260,400
Louisiana.........................................,9,5,1,4,0,4,234,193,92,17,73,2,101,84
Oklahoma........................................,6,3,1,2,0,3,251,207,124,58,66,0,83,136
Texas...............................................,40,25,11,13,1,15,2680,2178,1159,348,692,119,1019,1310
West South Central....................,61,36,14,21,1,25,3921,3231,1768,442,1205,121,1463,1930
"Total, all States and areas..........",1636,1031,389,570,72,605,113328,88801,51404,18591,29196,3617,37397,72129
