Types of formal actions taken,Cases in which formal actions taken,Total formal actions taken,Formal actions taken by type of case / RC,Formal actions taken by type of case / RM,Formal actions taken by type of case / RD,Formal actions taken by type of case / UD
"Hearings completed, total",2469,2167,1980,97,90,0
Initial hearings,2267,1971,1790,93,88,0
Hearings on objections and/or challenges,202,196,190,4,2,0
"Decisions issued, total",2207,1952,1782,82,88,0
By regional directors,2007,1809,1653,71,85,0
Elections directed (by regional directors),1794,1614,1483,58,73,0
Dismissals on record (by regional directors),213,195,170,13,12,0
By Board,200,143,129,11,3,0
After transfer by regional directors for initial decision,166,112,98,11,3,0
Elections directed (after transfer),105,71,62,7,2,0
Dismissals on record (after transfer),61,41,36,4,1,0
After review of regional directors' decisions,34,31,31,0,0,0
Elections directed (after review),26,25,25,0,0,0
Dismissals on record (after review),8,6,6,0,0,0
"Decisions on objections and/or challenges, total",933,917,852,53,12,10
By regional directors (objections),416,412,385,19,8,10
By Board (objections),517,505,467,34,4,0
In stipulated elections,478,467,432,31,4,0
No exceptions to regional directors' reports,268,257,236,18,3,0
Exceptions to regional directors' reports,210,210,196,13,1,0
In directed elections (after transfer by regional directors),25,24,23,1,0,0
In directed elections after review of regional directors' supplemental decisions,14,14,12,2,0,0
