row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16
Iowa,230,190,160,29,1,0,0,0,0,39,27,3,9,1,0,0
Kansas......................................................................,223,182,137,43,1,0,0,0,1,39,31,1,7,1,0,1
Minnesota................................................................,458,324,257,64,0,0,0,2,1,125,101,3,21,0,0,9
Missouri..................................................................,817,700,505,153,21,12,3,3,3,111,71,4,36,4,0,2
North Dakota..........................................................,31,21,19,2,0,0,0,0,0,8,5,1,2,0,0,2
Nebraska..................................................................,81,63,56,7,0,0,0,0,0,18,14,0,4,0,0,0
South Dakota..........................................................,24,22,20,2,0,0,0,0,0,2,1,0,1,0,0,0
West North Central............................................,1864,1502,1154,300,23,12,3,5,5,342,250,12,80,6,0,14
Arkansas..................................................................,155,135,107,28,0,0,0,0,0,19,11,1,7,0,0,1
Louisiana................................................................,296,264,198,66,0,0,0,0,0,31,26,0,5,1,0,0
Oklahoma................................................................,195,165,119,45,1,0,0,0,0,29,19,0,10,0,0,1
Texas........................................................................,1195,1091,869,222,0,0,0,0,0,99,79,1,19,0,0,5
West South Central............................................,1841,1655,1293,361,1,0,0,0,0,178,135,2,41,1,0,7
"Total, all States and areas..................................",33676,28760,21742,6209,462,186,38,23,100,4639,3708,130,801,107,11,159
