row_label,col_1,col_2,col_3,col_4,col_5,col_6
"Cases pending June 30, 1938",1182,,", 28. 3",210412,,"39.8 ,"
"Cases received July 1, 1938, to June 30, 1939",2994,,71.7,317936,,60.2
Total cases on docket,4176,,100.0,528388,,100.0
Cases closed before formal action:,,,,,,
By settlement,1326,50.2,31.8,136354,46.2,• 25. 8
' By dismissal,318,12.0,7.6,38205,13.0,7.2
By withdrawal,662,25.0,15.9,44897,15.2,8.6
Otherwise,15,. 6,. 3,1709,. 6,. 3
"Total cases closed before formal action ,",2 321,87.8,55.6,221.165,75.0,41.9
Cases closed after formal action:,,,,,,
By settlement before hearing,15,.6,.3,2682,,.5
By settlement after hearing,28,1.1,.7,11710,4.0,2.2
By dismissal before hearing,4,. 2,. 1,393,. 1,. 1
By dismissal after hearing,9,. 3,. 2,3394,1.2,. 7
By withdrawal before hearing,12,. 4,. 3,2295,. 8,. 4
By withdrawal after hearing,17,. 6,.4,2186,. 7,. 4
By intermediate report finding no violation,4,. 2,. I,577,. 2,. 1
By compliance with intermediate re- port,12,. 4,. 3,777,. 3,. 2
By issuance of decisions and orders:,,,,,,
Certification,79,3.0,1.9,18693,6.3,3.5
Compliance,/ 88,3.3,2.1,18642,6.3,3.5
Dismissal of complaint or petition_,56,2.1,1.3,12395,42,2.3
Total cases closed after formal action,324,12.2,7.7,73744,25.0,13.9
"Total cases closed July 1, 1938,",2645,100.0,,294.909,100.0,44.2
"to June 30, 1939 • . Cases pending June 30, 1939",1531,,36.7,233479,,
