Standard Federal regions / State,All cases,Unfair labor practice cases — All C,Unfair labor practice cases — CA,Unfair labor practice cases — CB,Unfair labor practice cases — CC,Unfair labor practice cases — CD,Unfair labor practice cases — CE,Unfair labor practice cases — CP,Representation cases — All R,Representation cases — RC,Representation cases — RM,Representation cases — RD,Union-shop Deauthorization cases — UD,Amendment-of-Certification cases — AC,Unit-Clarification cases — UC
Illinois,2673,1959,1180,604,98,47,3,27,680,536,52,92,23,6,5
Indiana,1555,1118,746,265,61,37,0,9,423,366,22,35,6,0,8
Michigan,1957,1219,845,234,108,24,0,9,676,538,56,76,10,3,0
Minnesota,496,218,142,34,26,13,0,3,269,230,25,14,0,0,8
Ohio,2544,1768,1135,418,142,46,3,9,639,546,40,53,19,5,13
Wisconsin,975,490,319,81,37,44,0,9,372,304,23,21,0,0,5
Region V — Total,10230,6775,4441,1676,429,125,13,91,3318,2792,219,307,68,15,54
Arkansas,250,139,114,20,4,1,0,0,109,95,2,12,1,0,1
Louisiana,495,353,205,80,23,27,2,16,133,107,10,16,4,1,4
New Mexico,209,153,101,27,16,3,1,5,54,45,4,5,1,1,0
Oklahoma,297,161,125,22,7,0,2,5,133,107,10,16,1,0,2
Texas,1636,1169,780,247,93,23,13,13,445,378,19,30,16,0,11
Region VI — Total,2887,1985,1325,381,158,42,5,24,921,770,44,107,3,13,15
Iowa,350,185,134,24,18,8,0,1,159,135,9,11,0,1,5
Kansas,269,146,115,24,5,1,1,0,121,97,13,11,0,0,2
Missouri,1478,1030,714,196,55,25,1,27,435,360,28,47,3,1,8
Nebraska,187,106,79,23,4,0,0,0,79,71,0,8,0,1,1
Region VII — Total,2324,1506,1061,284,104,35,0,22,789,676,42,71,9,3,17
Colorado,526,347,243,58,26,13,0,7,177,149,8,20,0,1,1
Montana,176,107,61,27,13,6,0,0,60,41,6,13,1,0,0
North Dakota,34,19,18,1,0,0,0,0,14,14,0,0,0,0,1
South Dakota,108,47,29,13,5,0,0,0,60,47,8,5,1,0,0
Utah,119,60,34,6,13,4,0,3,59,53,4,2,0,0,0
Wyoming,55,44,33,6,1,0,0,1,10,8,0,2,0,0,0
Region VIII — Total,1055,624,420,101,60,23,1,13,427,347,42,38,2,2,3
Arizona,356,220,138,56,22,3,0,5,127,114,6,7,0,0,0
California,5387,3463,2237,792,238,55,29,112,1693,1488,99,91,157,7,47
Hawaii,361,246,100,63,55,24,0,0,100,86,4,6,0,10,5
Nevada,262,192,117,31,5,8,0,9,69,51,5,13,0,1,0
Guam,5,1,1,0,0,0,0,0,3,3,0,0,0,0,1
Region IX — Total,6371,4127,2597,938,287,83,29,126,2132,1740,209,183,41,18,53
Alaska,160,105,58,29,10,4,0,0,53,37,7,9,2,0,0
Idaho,143,80,56,14,7,0,0,3,62,45,13,3,0,0,1
Oregon,629,359,240,97,15,3,1,3,258,176,43,39,8,1,3
Washington,1129,657,430,132,61,23,3,9,452,357,56,39,0,4,10
Region X — Total,2061,1191,784,272,93,30,4,15,825,619,119,85,32,5,14
"Total, all Federal regions",41077,26487,17361,6052,1868,627,104,475,14032,11897,991,1144,213,78,267
