Type of litigation,Number of proceedings / Total—all courts / Number decided,Number of proceedings / Total—all courts / Court determination / Upholding Board position,Number of proceedings / Total—all courts / Court determination / Contrary to Board position,Number of proceedings / In courts of appeals / Number decided,Number of proceedings / In courts of appeals / Court determination / Upholding Board position,Number of proceedings / In courts of appeals / Court determination / Contrary to Board position,Number of proceedings / In district courts / Number decided,Number of proceedings / In district courts / Court determination / Upholding Board position,Number of proceedings / In district courts / Court determination / Contrary to Board position
Total—all types,47,42,5,13,12,1,34,30,4
NLRB-initiated actions or interventions,17,16,1,6,6,0,11,10,1
To enforce subpoena,0,0,0,0,0,0,0,0,0
To defend Board's jurisdiction,4,4,0,3,3,0,1,1,0
To prevent conflict between NLRA and Bankruptcy Code,13,12,1,3,3,0,10,9,1
Action by other parties,30,26,4,7,6,1,23,20,3
To review non-final orders,3,3,0,3,3,0,0,0,0
To restrain NLRB from,7,6,1,0,0,0,7,6,1
Proceeding in R case,1,1,0,0,0,0,1,1,0
Proceeding in unfair labor practice case,5,5,0,0,0,0,5,5,0
Enforcing subpoena,1,0,1,0,0,0,1,0,1
Other,0,0,0,0,0,0,0,0,0
To compel NLRB to,20,17,3,4,3,1,16,14,2
Issue complaint,9,9,0,1,1,0,8,8,0
Take action in R case,6,5,1,1,0,1,5,5,0
Comply with Freedom of Information Act,4,2,2,2,2,0,2,0,2
Other,1,1,0,0,0,0,1,1,0
