row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12
Under 10............................................................,2824,453,20.3,20.3,262,22.7,18,20.0,14,14.4,159,17.8
10 to 19..............................................................,7241,495,22.2,42.5,310,26.9,14,15.6,23,23.7,148,16.6
20 to 29..............................................................,8338,329,14.7,57.2,172,14.9,11,12.2,9,9.3,137,15.3
30 to 39..............................................................,6362,179,8.0,65.2,101,8.8,8,8.9,9,9.3,61,6.8
40 to 49..............................................................,5562,124,5.6,70.8,45,3.9,10,11.1,6,6.2,63,7.1
50 to 59..............................................................,5606,93,4.2,74.9,44,3.8,3,3.3,5,5.2,41,4.6
60 to 69..............................................................,4408,70,3.1,78.1,23,2.0,3,3.3,4,4.1,40,4.5
,,55,,,,,,,,,,
70 to 79.............................................................. 80 to 89..............................................................,"4,136 5,483",,2.5,80.5 83.4,30,2.6,2,2.2,2,2.1,21 37,2.4
,,64,2.9,,23,2.0,3,3.3,1,1.0,,4.1
90 to 99..............................................................,"4,834 4,398",42,1.9,85.3,17,1.5,1,1.1,6,6.2,18,2.0
100 to 109..........................................................,,40,1.8,87.1,17,1.5,3,3.3,1,1.0,19,2.1
110 to 119..........................................................,3700,24,1.1,88.1,8,0.7,0,0.0,1,1.0,15,1.7
120 to 129..........................................................,3628,29,1.3,89.4,20,1.7,2,2.2,1,1.0,6,0.7
130 to 139..........................................................,2224,16,0.7,90.1,5,0.4,1,1.1,3,3.1,7,0.8
140 to 149..........................................................,3047,21,0.9,91.1,8,0.7,1,1.1,1,1.0,11,1.2
150 to 159.......................................................... 160 to 169..........................................................,"3,880 1,472",26 9,1.2 0.4,92.3 92.7,9 4,0.8 0.3,0 0,0.0 0.0,3 0,3.1 0.0,14 5,1.6 0.6
170 to 179..........................................................,,11,,,,0.4,1,,,,,0.4
180 to 189..........................................................,"2,018 1,097",7,0.5 0.3,93.1 93.5,5 2,0.2,0,1.1 0.0,1 0,1.0 0.0,4 5,0.6
190 to 199..........................................................,1630,8,0.4,93.8,2,0.2,0,0.0,1,1.0,5,0.6
200 to 299..........................................................,12412,48,2.1,96.0,19,1.6,3,3.3,1,1.0,25,2.8
300 to 399..........................................................,7714,21,0.9,96.9,7,0.6,0,0.0,3,3.1,11,1.2
400 to 499..........................................................,6736,17,0.8,97.7,2,0.2,1,1.1,0,0.0,14,1.6
500 to 599..........................................................,7138,16,0.7,98.4,7,0.6,1,1.1,1,1.0,7,0.8
600 to 799..........................................................,8306,16,0.7,99.1,4,0.3,3,3.3,0,0.0,9,1.0
800 to 999..........................................................,7199,7,0.3,99.4,3,0.3,0,0.0,0,0.0,4,0.4
"1,000 to 1,999.................................................... 2,999....................................................",15507,10 2,0.1,99.9,3,0.3,,0.0,0,0.0,6,0.7
"2,000 to",2314,,0.4,100.0,1,0.1,1 0,1.1,1,1.0,0,0.0
