row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13
AFL-CIO..........................................,908,54.7,497,496,1,,411,54485,21670,21627,43,,32815
Other local unions..............................,115,56.5,65,,,65,50,8613,5676,,,5676,2937
Other national unions........................,941,51.3,483,,483,,458,63266,32559,,32559,,30707
1-union elections..........................,1964,53.2,1045,496,484,65,919,126364,59905,21627,32602,5676,66459
AFL-CIO v. AFL-CIO......................,30,56.7,17,17,,,13,2310,1362,1362,,,948
AFL-CIO v. Local............................,45,93.3,42,31,,11,3,1948,1764,678,,1086,184
AFL-CIO v. National........................,30,80.0,24,11,13,,6,4553,4126,3353,773,,427
Local v. Local....................................,7,100.0,7,,,7,0,4381,4381,,,4381,0
National v. Local..............................,23,87.0,20,,17,3,3,2525,2476,,2374,102,49
National v. National..........................,36,77.8,28,,28,,8,7415,6971,,6971,,444
2-union elections..........................,171,80.7,138,59,58,21,33,23132,21080,5393,10118,5569,2052
AFL-CIO v. AFL-CIO v. Local........,1,100.0,1,1,,0,0,2205,2205,2205,,0,0
AFL-CIO v. AFL-CIO v. National v. Local..................................................,1,100.0,1,0,0,1,0,92,92,0,0,92,0
AFL-CIO v. National v. National......,1,100.0,1,0,1,,0,49,49,0,49,,0
Local v. Local v. Local......................,1,100.0,1,,,1,0,47,47,,,47,0
National v. Local v. Local................,1,100.0,1,,0,1,0,47,47,,0,47,0
National v. National v. Local............,1,100.0,1,,1,0,0,93,93,,93,0,0
National v. National v. National........,2,100.0,2,,2,,0,82,82,,82,,0
