row_label,col_1,col_2
Borg-Warner Corp,(0,
"Brennan, P., Co",,
Burnside Steel Foundry Co,(1),
Canton Malleable Iron Co,44,81
Carnegie-Illinois Steel Corp,42,1242
Central New York Power Corp,(0,
Charleson Iron Mining Co,(0,
Cities Service Gas Co,(0,
Colonial Life Ins.. Co. of America,(1),
Colorado Fuel & Iron Corp,43,299
Columbia Iron Mining Co,(0,
Columbia Steel Co,42,1125
Columbia Steel Co,(I),
Consumers Power Co. of Michigan,44,626
"Curry Miller Veneers, Inc",(0,
"Curtis, J. G., Leather Co",(1),
Curtiss-Wright Corp,(1),
"Cuyuna Ore Co., and Pickands, Mather & Co",(0,
Diamond Chain & Mfg. Co,(0,
"Diana*mad Match Co., Barberton, Ohio",42,134.4
"Diamond Match 'Co., Chico, Calif",43,1361
"Diamond Match Co., Chico, Calif",43,1343
"Electric Vacuum Cleaner Co., Inc",,
"Elkland Leather Co., Inc",,
"Emery Industries, Inc",(0,
"Food Machinery Corp., Riverside Division",(0,
"Foote-Burt Co., The",(0,
"Fostoria Screw Co., The",(0,
"Gates Rubber Co., The",(0,
"General Electric Co., Cleveland, Ohio",(/),
"General Electric Co., San Francisco, Calif",(0,
"General Electric Co., Cleveland, Ohio",(0,
"General Motors Corp., Saginaw Steering Gear Division",(0,
"General Motors Corp., Chevrolet Motors Plant",(0,
"General Motors Corp., Delco Remy Division",(0,
"General Motors Corp., Los Angeles, Calif",(0,
"General Motors Corp., A. C. Spark Plug Division",(0,
"General Motors Corp., Aero-Products Division",44,1127
"General Motors Corp., Chev. Bloomfield Plant",(0,
"General Motors Corp., Chevrolet Motor Division, Baltimore",(1),
"General 'Motors Corp., Chevrolet Transmission Division",42,. 255
