row_label,col_1,col_2,col_3,col_4
Cases decided by United States courts of appeals,195,100 0,1633,100 0
Boai d orders enforced in full,157,60 0,977,59 8
Board orders enforced with modifications,13,13 7,327,20 0
Remanded to Board,5,53,34,2.1
Board ciders partially enforced and partially re- manded,2,20,11,.7
Board orders set aside,18,19 0,284,37.4
Cases decided by United States Supreme Court,7,100.0,97,100 0
Board orders enforced in full,3,43.0,67,69.1
Board orders enforced with modifications,,,11,11 3
Board orders set aside,3,430,10,10 3
Remanded to Board,,,1,1.0
Remanded to court of appeals,,,6,6.3
Board's request for remand or modification of enforcement order denied,,,1,1.0
Contempt case enforced,1,14.0,1,1.0
