Mode of disposition,Number of cases,Percentage of — Total cases closed,Percentage of — Total cases on docket,Number of workers involved,Percentage of — Total number of workers involved in cases closed,Percentage of — Total number of workers involved in cases on docket
"Cases pending June 30, 1938",358,,42.3,122259,,36.1
"Cases received July 1, 1938, to June 30, 1939",489,,57.7,216712,,63.9
Total cases on docket,847,,100.0,338971,,100.0
Cases closed before formal action:,,,,,,
By settlement,153,29.1,18.1,34698,25.2,10.2
By dismissal,110,20.9,13.0,48923,35.5,14.4
By withdrawal,145,27.5,17.1,27081,19.6,8.0
Otherwise,9,1.7,1.1,7705,5.6,2.3
Total cases closed before formal action,417,79.2,49.3,118407,85.9,34.9
Cases closed after formal action:,,,,,,
By settlement before hearing,4,.8,.5,736,.5,.2
By settlement after hearing,23,4.4,2.7,271,.2,.1
By dismissal before hearing,,,,,,
By dismissal after hearing,,,,,,
By withdrawal before hearing,1,.2,.1,175,.1,.1
By withdrawal after hearing,13,2.5,1.5,4224,3.1,1.2
By intermediate report finding no violation,,,,,,
By compliance with intermediate report,,,,,,
By issuance of decisions and orders:,,,,,,
Certification,40,7.6,4.7,6382,4.6,1.9
Compliance,8,1.5,.9,552,.4,.2
Dismissal of complaint or petition,20,3.8,2.4,7210,5.2,2.1
Total cases closed after formal action,109,20.8,12.8,19550,14.1,5.8
"Total cases closed July 1, 1938 to June 30, 1939",526,100.0,,137957,100.0,
"Cases pending June 30, 1939",321,,37.9,201014,,59.3
