row_label,col_1,col_2,col_3,col_4,col_5,col_6
"Pending October I, 1997",29467,20213,1089,1543,6622,
Received fiscal 1998,23630,15952,596,1290,5792,
On docket fiscal 1998,53097,36165,1685,2833,12414,
Closed fiscal 1998,25928,17744,708,1206,6270,
"Pending September 30, 1998",27169,18421,977,1627,6144,
,CB Cases2,CB Cases2,CB Cases2,CB Cases2,CB Cases2,CB Cases2
"Pending October I, 1997",4780,84,2,24,3971,699
Received fiscal 1998,5936,54,1,39,5243,599
On docket fiscal 1998,10716,138,3,63,9214,1298
Closed fiscal 1998,6449,48,2,28,5629,742
"Pending September 30, 1998",4267,90,1,35,3585,556
,CC Cases,CC Cases,CC Cases,CC Cases,CC Cases,CC Cases
"Pending October 1, 1997",442,2,,3,,437
Received fiscal 1998,503,6,3,9,,485
On docket fiscal 1998,945,,3,12,,922
Closed fiscal 1998,529,5,2,6,,'516
"Pending September 30, 1998",416,3,1,6,,406
,CD Cases,CD Cases,CD Cases,CD Cases,CD Cases,CD Cases
"Pending October I, 1997",135,,,2,,125
Received fiscal 1998,166,10,,2,,154
On docket fiscal 1998,301,18,,4,,279
Closed fiscal 1998,183,13,,2,,168
"Pending September 30, 1998",118,,,2,,111
,CE Cases,CE Cases,CE Cases,CE Cases,CE Cases,CE Cases
"Pending October I, 1997",29,2,,,2,25
Received fiscal 1998,58,,,,3,53
On docket fiscal 1998,,3,,,5,78
Closed fiscal 1998,26,1,,,2,22
"Pending September 30, 1998",61,,,,3,56
,CG Cases,CG Cases,CG Cases,CG Cases,CG Cases,CG Cases
"Pending October 1, 1997",26,,,,,26
Received fiscal 1998,25,,,,,25
On docket fiscal 1998,51,,,,,51
Closed fiscal 1998,32,,,,,32
"Pending September 30, 1998",19,,,,,19
,CP Cases,CP Cases,CP Cases,CP Cases,CP Cases,CP Cases
"Pending October 1, 1997",79,1,,,,77
Received fiscal 1998,121,1,,,,120
On docket fiscal 1998,200,2,,,,197
Closed fiscal 1998,140,1,,,,138
"Pending September 30, 1998",so,1,,,,59
