Types of formal actions taken,Cases in which formal actions taken,Formal actions taken by type of case / AC,Formal actions taken by type of case / UC
Hearings completed,68,3,59
Decisions issued after hearing,91,3,70
By Regional Directors,88,3,67
By Board,3,0,3
Transferred by Regional Directors for initial decision,0,0,0
Review of Regional Directors' decisions:,,,
Requests for review received,41,0,39
Withdrawn before request ruled upon,3,0,3
"Board action on requests ruled upon, total",45,0,38
Granted,7,0,7
Denied,33,0,26
Remanded,5,0,5
"Withdrawn after request granted, before Board review",0,0,0
"Board decision after review, total",3,0,3
Regional Directors' decisions:,,,
Affirmed,1,0,1
Modified,1,0,1
Reversed,1,0,1
