Size of bargaining unit (employees),Number of employees (Total eligible),Total elections Number,Total elections Percent,Elections in which representation rights were won by AFL-CIO affiliates Number,Elections in which representation rights were won by AFL-CIO affiliates Percent,Elections in which representation rights were won by Unaffiliated unions Number,Elections in which representation rights were won by Unaffiliated unions Percent,Elections in which no representative was chosen Number,Elections in which no representative was chosen Percent
Total,13256,225,100.0,43,100.0,17,100.0,165,100.0
1-9,360,65,28.9,1,2.3,3,17.6,61,37.0
10-19,648,48,21.3,4,9.3,4,23.5,40,24.2
20-29,698,30,13.3,5,11.6,2,11.8,23,13.9
30-39,344,10,4.5,5,11.6,0,0,5,3.0
40-49,663,15,6.7,4,9.3,1,5.9,10,6.1
50-59,338,6,2.7,1,2.3,1,5.9,4,2.4
60-69,198,3,1.3,2,4.7,0,0,1,.6
70-79,458,6,2.7,4,9.3,0,0,2,1.2
80-89,407,5,2.2,2,4.7,0,0,0,0
90-99,94,1,.4,0,0,1,5.9,0,0
100-149,2194,18,8.0,6,14.0,2,11.8,10,6.1
150-199,890,5,2.2,2,4.7,0,0,3,1.8
200-299,1943,8,3.6,5,11.6,0,0,3,1.8
300-399,712,2,.9,1,2.3,0,0,1,.6
400 and over,3309,3,1.3,2,2.3,0,0,1,1.2
