row_label,col_1
Personal compensation,38475356
Personnel benefits,3406544
Travel and transportation of persons,2218583
Transportation of things,61080
"Rent, communications, and utilities","19738,401"
Printing and reproduction,688917
Other services,2493835
Supplies and materials,434075
Equipment,260882
Insurance claims and indemnities,24693
"Subtotal, obligations and expenditures 6",49802366
Transferred to other accounts (GSA),62201
Total Agency,49864567
6 Includes reimbursable obligations distributed as follows:,
Personnel compensation,6223
Personnel benefits,1604
Travel and transportation of persons,17
Other services,100690
Total obligations and expenditures,108634
