Stage,Total,Identification of filing party / AFL-CIO unions,Identification of filing party / Teamsters,Identification of filing party / Other national unions,Identification of filing party / Other local unions,Identification of filing party / Individuals,Identification of filing party / Employers
All cases,,,,,,,
"Pending July 1, 1968",10286,4772,1229,323,309,2573,1080
Received fiscal 1969,31303,11420,4708,1411,993,8476,4295
On docket fiscal 1969,41589,16192,5937,1734,1302,11049,5375
Closed fiscal 1969,31597,11739,4718,1247,866,8812,4215
"Pending June 30, 1969",9992,4453,1219,487,436,2237,1160
Unfair labor practice cases,,,,,,,
"Pending July 1, 1968",7377,3115,627,207,186,2388,854
Received fiscal 1969,18651,5333,1580,570,463,7508,3197
On docket fiscal 1969,26028,8448,2207,777,649,9896,4051
Closed fiscal 1969,18939,5560,1576,465,402,7847,3089
"Pending June 30, 1969",7089,2888,631,312,247,2049,962
Representation cases,,,,,,,
"Pending July 1, 1968",2790,1604,596,112,120,148,210
Received fiscal 1969,12107,5870,3109,822,493,783,1030
On docket fiscal 1969,14897,7474,3705,934,613,931,1240
Closed fiscal 1969,12116,5955,3120,764,433,786,1058
"Pending June 30, 1969",2781,1519,585,170,180,145,182
Union-shop deauthorization cases,,,,,,,
"Pending July 1, 1968",37,,,,,37,
Received fiscal 1969,173,,,,,173,
On docket fiscal 1969,210,,,,,210,
Closed fiscal 1969,170,,,,,170,
"Pending June 30, 1969",40,,,,,40,
Amendment of certification cases,,,,,,,
"Pending July 1, 1968",27,20,3,,2,0,2
Received fiscal 1969,134,79,7,6,21,3,18
On docket fiscal 1969,161,99,10,6,23,3,20
Closed fiscal 1969,143,91,10,5,18,2,17
"Pending June 30, 1969",18,8,0,1,5,1,3
Unit clarification cases,,,,,,,
"Pending July 1, 1968",55,33,3,4,1,0,14
Received fiscal 1969,238,138,12,13,16,9,50
On docket fiscal 1969,293,171,15,17,17,9,64
Closed fiscal 1969,229,133,12,13,13,7,51
"Pending June 30, 1969",64,38,3,4,4,2,13
