row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11
All representation elections.,4309,443,10.3,66,1.5,77,1 8,520,12.1,143,3.3
By type of case:,,,,,,,,,,,
In RC cases .... ........ ... .... ......... .. .. . .,3607,379,105,66,1.8,76,2.1,455,13,142,3.9
In RM cases,105,7,6.7,0,,0,,7,67,0,
In RD cases,597,57,9.5,0,,I,0.2,58,9.7,1,0.2
By type of election.,,,,,,,,,,,
_ Consent elections,59,5,8.5,0,,0,,5,8 5,0,
Stipulated elections,3559,270,7.6,51,1.4,61,1.7,331,9.3,112,3.1
Expedited elections,2,0,,0,,0,,0,,0,
Regional Director-directed elections,685,166,24.2,15,22,16,2.3,182,266,31,45
Board-directed elections ..........................................,4,2,50.0,0,,0,,2,500,0,
