row_label,Objections filed,Objections withdrawn,Objections ruled upon,Overruled / Number,Overruled / Percent of total ruled upon,Sustained / Number,Sustained / Percent of total ruled upon
All representation elections,277,50,227,194,85.5,33,14.5
By type of case,,,,,,,
RC cases,260,47,213,180,84.5,33,15.5
RM cases,7,1,6,6,100.0,0,
RD cases,10,2,8,8,100.0,0,
By type of election,,,,,,,
Consent elections,12,3,9,9,100.0,0,
Stipulated elections,178,31,147,121,82.3,26,17.7
Expedited elections,1,1,0,0,,0,
Regional director-directed elections,86,15,71,64,90.1,7,9.9
Board-directed elections,0,0,0,0,,0,
