row_label,Identification of filing party / Total,Identification of filing party / AFL-CIO unions,Identification of filing party / Other national unions,Identification of filing party / Other local unions,Identification of filing party / Individuals,Identification of filing party / Employers
CA cases,,,,,,
"Pending October 1, 1996",28055,19305,1174,1467,6109,0
Received fiscal 1997,25809,17631,615,1280,6283,0
On docket fiscal 1997,53864,36936,1789,2747,12392,0
Closed fiscal 1997,24624,16888,714,1196,5826,0
"Pending September 30, 1997",29240,20048,1075,1551,6566,0
CB cases,,,,,,
"Pending October 1, 1996",4837,86,2,38,3957,754
Received fiscal 1997,6673,78,4,33,5814,744
On docket fiscal 1997,11510,164,6,71,9771,1498
Closed fiscal 1997,6770,80,4,46,5841,799
"Pending September 30, 1997",4740,84,2,25,3930,699
CC cases,,,,,,
"Pending October 1, 1996",447,2,4,0,0,441
Received fiscal 1997,580,13,0,4,0,563
On docket fiscal 1997,1027,15,0,8,0,1004
Closed fiscal 1997,598,13,0,5,0,580
"Pending September 30, 1997",429,2,0,3,0,424
CD cases,,,,,,
"Pending October 1, 1996",128,5,0,1,0,122
Received fiscal 1997,180,11,0,2,0,167
On docket fiscal 1997,308,16,0,3,0,289
Closed fiscal 1997,176,8,0,1,0,167
"Pending September 30, 1997",132,8,0,2,0,122
CE cases,,,,,,
"Pending October 1, 1996",43,2,0,0,4,37
Received fiscal 1997,34,1,0,2,0,31
On docket fiscal 1997,77,3,0,0,6,68
Closed fiscal 1997,48,1,0,0,4,43
"Pending September 30, 1997",29,2,0,0,2,25
CG cases,,,,,,
"Pending October 1, 1996",14,0,0,0,0,14
Received fiscal 1997,32,0,0,0,0,32
On docket fiscal 1997,46,0,0,0,0,46
Closed fiscal 1997,24,0,0,0,0,24
"Pending September 30, 1997",22,0,0,0,0,22
CP cases,,,,,,
"Pending October 1, 1996",48,2,0,2,0,44
Received fiscal 1997,131,3,2,2,0,124
On docket fiscal 1997,179,5,2,4,0,168
Closed fiscal 1997,101,4,2,2,0,93
"Pending September 30, 1997",78,1,0,2,0,76
