row_label,col_1,col_2
"Total, all..........................................................................................................................",10,186
Certification amended or unit clarified....................................................................................,2,18
Before hearing................................................................................................................,2,4
By Regional Director's decision..........................................................................,2,4
By Board decision................................................................................................,0,0
After hearing..................................................................................................................,0,14
By Regional Director's decision..........................................................................,0,14
By Board decision................................................................................................,0,0
Dismissed................................................................................................................................,0,56
Before hearing................................................................................................................,0,31
By Regional Director's decision..........................................................................,0,29
By Board decision................................................................................................,0,2
After hearing..................................................................................................................,0,25
By Regional Director's decision..........................................................................,0,23
By Board decision................................................................................................,0,2
Withdrawn................................................................................................................................,7,112
Before hearing................................................................................................................,7,109
After hearing..................................................................................................................,0,3
