row_label,col_1,col_2,col_3,col_4,col_5,col_6
"Pending October 1, 2000....................","*21,465",15595,705,776,4293,96
Received fiscal 2001..........................,21510,14873,730,650,5158,99
On docket fiscal 2001........................,42975,30468,1435,1426,9451,195
Closed fiscal 2001..............................,22833,15928,751,682,5367,105
"Pending September 30, 2001..............",20142,14540,684,744,4084,90
,CB Cases,CB Cases,CB Cases,CB Cases,CB Cases,CB Cases
"Pending October 1, 2000....................",3137,57,4,7,2612,457
Received fiscal 2001..........................,5843,60,7,10,5162,604
On docket fiscal 2001........................,8980,117,11,17,7774,1061
Closed fiscal 2001..............................,6212,57,7,4,5496,648
"Pending September 30, 2001..............",2768,60,4,13,2278,413
,CC Cases,CC Cases,CC Cases,CC Cases,CC Cases,CC Cases
"Pending October 1, 2000....................",223,1,0,1,8,213
Received fiscal 2001..........................,447,6,6,1,21,413
On docket fiscal 2001........................,670,7,6,2,29,626
Closed fiscal 2001..............................,432,5,6,2,24,395
"Pending September 30, 2001..............",238,2,0,0,5,231
,CD Cases,CD Cases,CD Cases,CD Cases,CD Cases,CD Cases
"Pending October 1, 2000....................",68,1,0,0,2,65
Received fiscal 2001..........................,167,27,0,0,9,131
On docket fiscal 2001........................,235,28,0,0,11,196
Closed fiscal 2001..............................,174,24,0,0,10,140
"Pending September 30, 2001..............",61,4,0,0,1,56
,CE Cases,CE Cases,CE Cases,CE Cases,CE Cases,CE Cases
"Pending October 1, 2000....................",24,1,0,0,0,23
Received fiscal 2001..........................,27,2,0,0,0,25
On docket fiscal 2001........................,51,3,0,0,0,48
Closed fiscal 2001..............................,29,3,0,0,0,26
"Pending September 30, 2001..............",22,0,0,0,0,22
,CG Cases,CG Cases,CG Cases,CG Cases,CG Cases,CG Cases
"Pending October 1, 2000....................",4,0,0,0,0,4
Received fiscal 2001..........................,35,0,0,0,0,35
On docket fiscal 2001........................,39,0,0,0,0,39
Closed fiscal 2001..............................,23,0,0,0,0,23
"Pending September 30, 2001..............",16,0,0,0,0,16
,CP Cases,CP Cases,CP Cases,CP Cases,CP Cases,CP Cases
"Pending October 1, 2000....................",47,1,1,0,4,41
Received fiscal 2001..........................,95,0,2,0,4,89
On docket fiscal 2001........................,142,1,3,0,8,130
Closed fiscal 2001..............................,117,1,3,0,7,106
"Pending September 30, 2001..............",25,0,0,0,1,24
