Types of formal actions taken,Cases in which formal actions taken,Total formal actions taken,Formal actions taken by type of case — RC,Formal actions taken by type of case — RM,Formal actions taken by type of case — RD,Formal actions taken by type of case — UD
"Decisions on objections and/or challenges, total",1057,979,808,44,127,14
  By Regional Directors,342,325,265,16,44,7
  By Board,715,654,543,28,83,7
    In stipulated elections,663,607,504,25,78,7
      No exceptions to Regional Directors' reports,414,398,344,14,40,4
      Exceptions to Regional Directors' reports,249,209,160,11,38,3
    In directed elections (after transfer by Regional Director),52,47,39,3,5,0
  Request for review received,203,194,175,5,14,0
  Withdrawn before request ruled upon,1,1,1,0,0,0
"  Board action on request ruled upon, total",206,186,166,7,13,0
    Granted,26,26,23,1,2,0
    Denied,177,159,142,6,11,0
    Remanded,3,1,1,0,0,0
"  Withdrawn after request granted, before Board review",0,0,0,0,0,0
"  Board decision after review, total",0,0,0,0,0,0
    Regional Directors' decisions: Affirmed,0,0,0,0,0,0
    Regional Directors' decisions: Modified,0,0,0,0,0,0
    Regional Directors' decisions: Reversed,0,0,0,0,0,0
