row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14
Delaware..................................................,16,7,6,1,0,9,912,829,402,346,39,17,427,480
District Of Columbia................................,18,13,8,1,4,5,2283,1638,1351,367,47,937,287,2070
Florida......................................................,91,58,52,4,2,33,5920,5242,2578,2336,88,154,2664,3257
Georgia......................................................,39,21,19,2,0,18,5437,4796,2216,2077,139,0,2580,1458
Maryland..................................................,65,40,34,1,5,25,3673,3007,1713,1469,6,238,1294,2093
North Carolina..........................................,28,13,11,0,2,15,2224,2059,903,842,1,60,1156,563
South Carolina..........................................,7,2,2,0,0,5,754,729,312,312,0,0,417,6
Virginia....................................................,20,12,11,1,0,8,1120,965,494,484,10,0,471,493
West Virginia............................................,48,27,24,2,1,21,3330,2911,1372,1346,0,26,1539,1360
South Atlantic......................................,332,193,167,12,14,139,25653,22176,11341,9579,330,1432,10835,11780
Iowa..........................................................,20,9,9,0,0,11,884,726,503,503,0,0,223,653
Kansas......................................................,26,13,10,2,1,13,1536,1386,543,468,73,2,843,399
Minnesota..................................................,73,39,30,8,1,34,3815,2812,1412,1310,76,26,1400,1901
Missouri....................................................,78,28,28,0,0,50,3982,3614,1442,1274,168,0,2172,624
Nebraska....................................................,18,7,7,0,0,11,909,858,441,441,0,0,417,414
North Dakota............................................,7,3,3,0,0,4,88,74,34,34,0,0,40,29
South Dakota............................................,2,0,0,0,0,2,36,36,15,15,0,0,21,0
West North Central..............................,224,99,87,10,2,125,11250,9506,4390,4045,317,28,5116,4020
Arkansas....................................................,12,3,2,0,1,9,1457,1342,553,500,0,53,789,315
Louisiana..................................................,26,13,12,0,1,13,1873,1390,751,615,0,136,639,1093
Oklahoma..................................................,18,7,6,1,0,11,1270,1078,332,304,28,0,746,285
Texas........................................................,64,35,28,4,3,29,5287,4989,2721,1895,433,393,2268,2428
West South Central..............................,120,58,48,5,5,62,9887,8799,4357,3314,461,582,4442,4121
"Total, all States and areas....................",2960,1588,1391,97,100,1372,197476,167782,86269,75628,3183,7458,81513,87885
