row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16
Food and kindred products,164,57,32,21,1,3,107,14702,12938,6442,4039,1110,12,1281,6496,4306
Tobacco manufacturers,2,0,0,0,0,0,2,192,188,64,64,0,0,0,124,0
Textile mill products,35,13,7,5,0,1,22,4939,4493,2160,1756,348,0,56,2333,1327
Apparel and other finished products made from fabnc and similar materials,35,11,7,3,1,0,24,4094,3763,1563,1081,347,5,130,2200,723
Lumber and wood products (except furniture),96,35,27,6,0,2,61,6576,5955,2576,2210,262,7,97,3379,2023
Furniture and fixtures,41,13,9,3,0,1,28,2604,2431,1077,861,100,6,110,1354,740
Paper and allied products,59,15,9,4,0,2,44,4278,3926,1484,1057,238,0,189,2442,761
"Printing, publishing, and allied products",132,39,22,3,0,14,93,5246,4762,1948,1191,219,4,534,2814,1776
Chemicals and allied products,89,31,19,6,0,6,58,4373,4109,2011,1212,391,0,408,2098,1842
Petroleum refining and related industries,14,3,1,2,0,0,11,634,584,177,90,29,0,58,407,80
Rubber and miscellaneous plastic products,79,29,21,5,I,2,50,4632,4285,1752,1329,298,37,98,2523,1254
Leather and leather products,18,3,I,0,0,2,I5,1511,1366,655,148,80,316,III,711,254
"Stone, clay, glass, and concrete products",74,31,18,10,0,3,43,2655,2395,1185,713,226,0,246,1210,994
Primary metal industnes,113,52,34,12,2,4,61,7196,6562,2897,2136,462,23,276,3665,1897
Fabricated metal products (except machinery and trans- portation equipment),175,64,48,9,3,4,1 1 I,9173,8457,3776,2830,596,99,251,4681,3283
Machinery (except electrical),190,65,40,16,0,9,125,11108,10284,4554,3610,579,17,348,5730,3411
"Electrical and electronic machinery, equipment, and sup- plies",71,29,19,8,0,2,42,5802,5295,2546,2103,431,0,12,2749,2780
Aircraft and parts,84,38,23,13,0,2,46,13868,12352,7899,2930,4613,0,356,4453,8761
Ship and boat building and repairing,12,8,4,0,3,1,4,19964,18018,16945,13945,36,90,2874,1073,18553
Automotive and other transportation equipment,10,4,2,2,0,0,6,644,603,271,121,ISO,0,0,332,227
"Measuring, analyzing, and controlling instruments, photo- graphic, medical, and optical goods, watches and clocks",36,15,10,3,0,2,21,1837,1641,834,653,150,0,31,807,653
Miscellaneous manufacturing industries,156,70,37,20,3,10,86,6540,5774,2857,1796,567,37,457,2917,2716
Manufacturing,1685,625,390,151,14,70,1060,132568,120181,65683,45875,11232,653,7923,54498,58361
Metal mining,9,2,0,2,0,0,7,159,153,54,26,23,5,0,99,32
Coal mining,24,14,4,0,8,2,10,2362,2170,1444,491,0,871,82,726,1691
Dil and gas extraction,15,1,1,0,0,0,14,671,568,95,88,7,0,0,473,5
