Types of formal actions taken,Cases in which formal actions taken,Formal actions taken by type of case — AC,Formal actions taken by type of case — UC
Hearings completed,105,5,93
Decision issued after hearing,117,5,100
By regional directors,110,5,100
By Board,0,0,0
Transferred by regional directors for initial decision,0,0,0
Review of regional directors' decisions — Requests for review received,12,1,9
Withdrawn before request ruled upon,0,0,0
"Board action on requests ruled upon, total",12,3,6
Granted,3,1,2
Denied,8,1,3
Remanded,1,1,1
"Withdrawn after request granted, before Board review",0,0,0
"Board decision after review, total",0,0,0
Regional directors' decisions: Affirmed,0,0,0
Regional directors' decisions: Modified,0,0,0
Regional directors' decisions: Reversed,0,0,0
