row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15
Totals -- all types ......................................................,24,19,5,13,9,4,8,7,1,2,2,0,1,1,0
NLRB-initiated actions or interventions .................................,4,2,2,2,1,1,1,0,1,0,0,0,1,1,0
To quash district court subpoena .....................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
To enforce subpoena or contempt of subpoena…………,2,1,1,2,1,1,0,0,0,0,0,0,0,0,0
To enjoin local ordinance as preempted…………………,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0
To sanction failure to respond to discovery ...…………..,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0
Action by other parties ............................................................,20,17,3,11,8,3,7,7,0,2,2,0,0,0,0
To review: .............................................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prosecutorial discretion ....................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nonfinal/representation order ..........................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
To restrain NLRB from: ........................................................,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0
Enforcing Board subpoenas .............................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proceeding in R case ........................................................,1,1,0,0,,0,1,1,0,0,0,0,0,0,0
Proceeding in unfair labor practice case ..........................,0,0,0,0,0 0,0,0,0,0,0,0,0,0,0,0
To compel NLRB to: ............................................................,14,12,2,8,6,2,6,6,0,0,0,0,0,0,0
Issue complaint …………………....................................,8,8,0,5,5,0,3,3,0,0,0,0,0,0,0
Take action in R case ...……............................................,2,2,0,1,1,0,1,1,0,0,0,0,0,0,0
Comply with Freedom of Information Act (FOIA) 1 .......,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
To issue decision or take specific action..........................,4,2,2,2,0,2,2,2,0,0,0,0,0,0,0
