Action taken,Total all,Remedial action taken by — Employer — Total,Employer — Pursuant to agreement of parties — Informal settlement,Employer — Pursuant to agreement of parties — Formal settlement,Employer — Pursuant to recommendation of administrative law judge,Employer — Order of Board,Employer — Order of Court,Remedial action taken by — Union — Total,Union — Pursuant to agreement of parties — Informal settlement,Union — Pursuant to agreement of parties — Formal settlement,Union — Pursuant to recommendation of administrative law judge,Union — Order of Board,Union — Order of Court
A. By number of cases involved,7851,,,,,,,,,,,,
Notice posted,3641,2627,1704,103,4,482,334,1014,653,81,1,133,116
Recognition or other assistance withdrawn,61,61,34,19,1,1,5,0,0,0,0,0,0
Employer-dominated union disestablished,24,24,12,2,0,3,7,0,0,0,0,0,0
Employees offered reinstatement,1162,1162,731,33,2,224,164,0,0,0,0,0,0
Employees placed on preferential hiring list,76,76,48,3,1,7,17,0,0,0,0,0,0
Hiring hall rights restored,19,0,0,0,0,0,0,19,14,0,0,1,4
Objections to employment withdrawn,54,0,0,0,0,0,0,54,29,2,0,11,12
Picketing ended,623,0,0,0,0,0,0,623,575,13,1,22,12
Work stoppage ended,225,0,0,0,0,0,0,225,206,6,0,11,2
Collective bargaining begun,1773,1696,1269,45,1,133,147,178,129,2,0,6,7
Backpay distributed,1732,1600,1168,51,2,241,138,132,78,0,0,7,16
"Reimbursement of fees, dues, and fines",100,51,37,3,0,6,5,49,39,1,0,4,5
Other conditions of employment improved,1542,946,939,3,0,0,4,596,582,5,0,4,5
Other remedies,0,0,0,0,0,0,0,0,0,0,0,0,0
