row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7
"Pending October 1, 1981","'3,327",1968,819,228,296,16,
Received fiscal 1982,5605,2996,1519,463,613,14,
On docket fiscal 1982,8932,4964,2338,691,909,30,
Closed fiscal 1982,5687,3062,1593,452,568,12,
"Pending September 30, 1982",3245,1902,745,239,341,18,
,RM cases,RM cases,RM cases,RM cases,RM cases,RM cases,RM cases
"Pending October 1, 1981",'292,,,,,,292
Received fiscal 1982,707,,,,,,707
On docket fiscal 1982,999,,,,,,999
Closed fiscal 1982,614,,,,,,614
"Pending September 30, 1982",385,,,,,,385
,RD cases,RD cases,RD cases,RD cases,RD cases,RD cases,RD cases
"Pending October 1, 1981",•511,1,1,1,1,507,
Received fiscal 1982,1964,12,2,5,1,1944,
On docket fiscal 1982,2475,13,3,6,2,2451,
Closed fiscal 1982,1651,8,2,6,1,1634,
"Pending September 30, 1982",824,5,1,o,1,817,
