row_label,col_1,col_2,col_3,col_4,col_5,col_6
"Board action on request ruled upon, total...............",21,17,17,0,0,1
Granted.............................................................,3,3,3,0,0,1
Denied...............................................................,17,13,13,0,0,0
Remanded.........................................................,1,1,1,0,0,0
"Withdrawn after request granted, before Board review......................................................................",0,0,0,0,0,0
"Board decision after review, total..........................",11,10,10,0,0,1
Regional Directors' decisions:,,,,,,
Affirmed......................................................,0,0,0,0,0,1
Modified......................................................,11,10,10,0,0,0
Reversed......................................................,0,0,0,0,0,0
