row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14
Massachusetts............................................,48,27,22,1,4,21,2404,2213,1114,1047,24,43,1099,1198
New Hampshire.........................................,2,1,1,0,0,1,63,53,32,32,0,0,21,39
Rhode Island.............................................,22,16,14,0,2,6,1395,1269,612,574,0,38,657,452
Vermont....................................................,4,3,1,2,0,1,99,91,54,29,25,0,37,42
New England........................................,115,65,53,5,7,50,5651,5027,2535,2257,180,98,2492,2358
Puerto Rico................................................,41,25,15,4,6,16,2725,2268,1308,1054,24,230,960,1628
Virgin Islands............................................,2,1,1,0,0,1,222,84,70,70,0,0,14,202
Outlying Areas.....................................,43,26,16,4,6,17,2947,2352,1378,1124,24,230,974,1830
Alaska........................................................,9,4,4,0,0,5,323,295,138,138,0,0,157,58
American Samoa.......................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0
California..................................................,241,148,134,5,9,93,21353,16882,10074,8860,474,740,6808,15747
Federated States of Micronesia.................,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guam.........................................................,1,1,1,0,0,0,21,15,12,12,0,0,3,21
Hawaii.......................................................,18,7,3,3,1,11,1095,858,374,193,174,7,484,273
Marshall Islands........................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Mariana Islands..........................,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oregon.......................................................,34,19,17,0,2,15,989,889,432,362,27,43,457,413
Palau..........................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Washington...............................................,62,47,44,3,0,15,3490,2758,1863,1829,24,10,895,2825
Pacific..................................................,365,226,203,11,12,139,27271,21697,12893,11394,699,800,8804,19337
Delaware...................................................,6,2,2,0,0,4,158,145,59,59,0,0,86,75
District Of Columbia................................,21,18,6,6,6,3,1736,1186,1033,385,142,506,153,1538
Florida.......................................................,75,51,43,6,2,24,6021,5232,3176,2929,208,39,2056,4065
Georgia......................................................,33,16,14,2,0,17,3426,2845,1295,1208,87,0,1550,918
Maryland...................................................,46,28,23,2,3,18,3105,2503,1323,1141,87,95,1180,1729
