row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11
Proceedings decided by U.S. Courts of Appeals and other courts…………………………………………………………………….,,,,,,,,,,,
On proceedings for review and/or enforcement………...……….......,61,44,6,1,10,72.1,9.8,1.6,16.4,12107,100.0
Board orders affirmed in full…………………………………...,48,36,5,1,6,75.0,10.4,2.1,12.5,8050,66.5
Board orders affirmed with modification……………………….,3,2,1,0,0,66.7,33.3,0,0,1567,12.9
RemandedtotheBoard…………………………………………,4,1,0,0,3,25.0,0,0,75.0,607,5.0
Board orders partially affirmed and partially remanded.………..,3,2,0,0,1,66.7,0,0,33.3,276,2.3
Board orderssetaside…………………………………………..,3,3,0,0,0,100.0,0,0,0,1607,13.3
On petitionsforcontempt……………………………………………,6,6,0,0,0,100,0,,,,
Ancillary proceedings in district courts and/or bankruptcy courts…..,31,31,0,0,0,100,0,,,,
TotalCourtOrders.…………………………………………………..,23,22,1,0,0,95.7,4.3,,,,
"Compliance after filing of petition, before court order …..…......",16,16,0,0,0,100,0,,,,
Court orders holding respondent in contempt ………………......,3,3,0,0,0,100,0,,,,
Court orders denying petition or discontinuing proceedings at CLCB request…………………………………...…………….,3,3,0,0,0,100,0,,,,
Court orders directing compliance without contempt adjudication…………..…………………………………………,1,0,1,0,0,0,100,,,,
Proceedings decided by U.S. Supreme Court..………………………….,0,0,0,0,0,,,,,259,100.0
Board orders affirmed in full……………………………..………...,0,,,,,,,,,155,59.8
Board orders affirmed with modification…………………………...,0,,,,,,,,,18,6.9
Board orders setaside……………………………………………....,0,,,,,,,,,46,17.8
RemandedtotheBoard………………………….………………….,0,,,,,,,,,20,7.7
Remanded to Court of Appeals……………………………….....….,0,,,,,,,,,17,6.5
Board's request for remand or modification of enforcement orderdenied…….…………………………...…………………….…,0,,,,,,,,,1,0.4
Contempt cases remanded to Court of Appeals……………………...,0,,,,,,,,,1,0.4
Contempt cases enforced...……………………..…………………….,0,,,,,,,,,1,0.4
