row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13
AFL-CIO …………….………………,2729,51.0,1392,1392,,,1337,183131,78233,78233,,,104898
National………………………………,63,55.6,35,,35,,28,3859,1457,,1457,,2402
Local…………………………………..,221,60.6,134,,,134,87,16669,7129,,,7129,9540
1-union elections……………,3013,51.8,1561,1392,35,134,1452,203659,86819,78233,1457,7129,116840
AFL-CIO v. AFL-CIO……………….,29,79.3,23,23,,,6,4400,3589,3589,,,811
AFL-CIO v. National…………………,12,100.0,12,8,4,,0,1654,1654,1321,333,,0
AFL-CIO v. Local,54,94.4,51,37,,14,3,7411,6560,4444,,2116,851
National v. Local,3,100.0,3,,2,1,0,326,326,,288,38,0
Localv.Local…………………………,8,100.0,8,,,8,0,958,958,,,958,0
2-union elections………….…,106,91.5,97,68,6,23,9,14749,13087,9354,621,3112,1662
AFL-CIO v. AFL-CIO v. Local……….,1,100.0,1,1,,0,0,2802,2802,2802,,0,0
3 (or more)-union elections…………...,1,100.0,1,1,0,0,0,2802,2802,2802,0,0,0
Total RC elections…………..,3120,53.2,1659,1461,41,157,1461,221210,102708,90389,2078,10241,118502
C. Elections in RMcases,C. Elections in RMcases,C. Elections in RMcases,C. Elections in RMcases,C. Elections in RMcases,C. Elections in RMcases,C. Elections in RMcases,C. Elections in RMcases,C. Elections in RMcases,C. Elections in RMcases,C. Elections in RMcases,C. Elections in RMcases,C. Elections in RMcases,C. Elections in RMcases
AFL-CIO……………………………..,38,34.2,13,13,,,25,1327,635,635,,,692
1-union elections………………,38,34.2,13,13,0,0,25,1327,635,635,0,0,692
AFL-CIO v. AFL-CIO……………….,3,100.0,3,3,,,0,666,666,666,,,0
Localv.Local…………………………,1,100.0,1,,,1,0,36,36,,,36,0
2-union elections……………….,4,100.0,4,3,0,1,0,702,702,666,0,36,0
Total RMelections……………..,42,40.5,17,16,0,1,25,2029,1337,1301,0,36,692
