row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11
All representation elections................................,3192,137,4.3,57,1.8,12,0.4,149,4.7,69,2.2
By type of cases:,,,,,,,,,,,
In RC cases................................................,2783,123,4.4,52,1.9,10,0.4,133,4.8,62,2.2
In RMcases..............................................,46,1,2.2,0,0.0,0,0.0,1,2.2,0,0.0
In RD cases...............................................,363,13,3.6,5,1.4,2,0.6,15,4.1,7,1.9
By type of election:,,,,,,,,,,,
Consent elections......................................,4,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Stipulated elections...................................,2614,34,1.3,38,1.5,4,0.2,38,1.5,42,1.6
Expedited elections...................................,2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Regional Director-directed elections........,572,103,18.0,19,3.3,8,1.4,111,19.4,27,4.7
Board-directed elections...........................,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
