row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12
"3,000 to 9,999.....................................................",4524,1,0.1,100.0,0,0.0,1,0.2,0,0.0,0,0.0
"Over 9,999..........................................................",0,0,0.0,100.0,0,0.0,0,0.0,0,0.0,0,0.0
,B. Decertification elections (RD),B. Decertification elections (RD),B. Decertification elections (RD),B. Decertification elections (RD),B. Decertification elections (RD),B. Decertification elections (RD),B. Decertification elections (RD),B. Decertification elections (RD),B. Decertification elections (RD),B. Decertification elections (RD),B. Decertification elections (RD),B. Decertification elections (RD)
Total RD elections...............................,15701,265,100.0,,43,100.0,63,100.0,2,100.0,157,100.0
Under 10.............................................................,291,47,17.7,17.7,4,9.3,1,1.6,0,0.0,42,26.8
10 to 19...............................................................,1016,48,18.1,35.8,4,9.3,7,11.1,0,0.0,37,23.6
20 to 29...............................................................,1208,42,15.8,51.7,8,18.6,11,17.5,1,50.0,22,14.0
30 to 39...............................................................,798,24,9.1,60.8,8,18.6,4,6.3,0,0.0,12,7.6
40 to 49...............................................................,821,19,7.2,67.9,2,4.7,7,11.1,0,0.0,10,6.4
50 to 59...............................................................,382,7,2.6,70.6,1,2.3,3,4.8,0,0.0,3,1.9
60 to 69...............................................................,672,10,3.8,74.3,0,0.0,4,6.3,0,0.0,6,3.8
70 to 79...............................................................,372,5,1.9,76.2,0,0.0,2,3.2,1,50.0,2,1.3
80 to 89...............................................................,559,7,2.6,78.9,2,4.7,1,1.6,0,0.0,4,2.5
90 to 99...............................................................,647,8,3.0,81.9,3,7.0,3,4.8,0,0.0,2,1.3
100 to 109...........................................................,541,5,1.9,83.8,1,2.3,2,3.2,0,0.0,2,1.3
110 to 119...........................................................,442,4,1.5,85.3,1,2.3,2,3.2,0,0.0,1,0.6
120 to 129...........................................................,676,5,1.9,87.2,1,2.3,1,1.6,0,0.0,3,1.9
130 to 139...........................................................,531,4,1.5,88.7,1,2.3,1,1.6,0,0.0,2,1.3
140 to 149...........................................................,611,4,1.5,90.2,1,2.3,2,3.2,0,0.0,1,0.6
150 to 159...........................................................,580,4,1.5,91.7,3,7.0,1,1.6,0,0.0,0,0.0
160 to 169...........................................................,324,2,0.8,92.5,0,0.0,2,3.2,0,0.0,0,0.0
170 to 199...........................................................,554,3,1.1,93.6,1,2.3,1,1.6,0,0.0,1,0.6
200 to 299...........................................................,2372,11,4.2,97.7,1,2.3,6,9.5,0,0.0,4,2.5
300 to 499...........................................................,2304,6,2.3,100.0,1,2.3,2,3.2,0,0.0,3,1.9
500 to 799...........................................................,0,0,0.0,100.0,0,0.0,0,0.0,0,0.0,0,0.0
800 and Over ......................................................,0,0,0.0,100.0,0,0.0,0,0.0,0,0.0,0,0.0
