row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7
"Pending October I, 1984","• 13,791",6764,1813,451,822,3936,5
Received fiscal 1985,22545,9709,2645,654,1274,8248,15
On docket fiscal 1985,36336,16473,4458,1105,2096,12184,20
Closed fiscal 1985,23726,10259,2940,644,1254,8613,16
"Pending September 30, 1985",12610,6214,1518,461,842,3571,4
,CB,CB,CB,CB,CB,CB,CB
,cases,cases,cases,cases,cases,cases,cases
"Pending October 1, 1984","• 2,886",36,11,7,29,2146,657
Received fiscal 1985,8382,50,13,5,39,6989,1286
On docket fiscal 1985,11268,86,24,12,68,9135,1943
Closed fiscal 1985,8444,49,10,3,42,7101,1239
"Pending September 30, 1985",2824,37,14,9,26,2034,704
,CC cases,CC cases,CC cases,CC cases,CC cases,CC cases,CC cases
"Pending October 1, 1984",.619,10,I,0,10,5,593
Received fiscal 1985,1115,6,3,21,22,5,1058
On docket fiscal 1985,1734,16,4,21,32,10,1651
Closed fiscal 1985,1090,7,3,20,15,8,1037
"Pending September 30, 1985",644,9,1,1,17,2,614
,CD cases,CD cases,CD cases,CD cases,CD cases,CD cases,CD cases
"Pending October I, 1984",. 132,9,0,0,3,0,120
Received fiscal 1985,280,10,4,3,8,1,254
On docket fiscal 1985,412,19,4,3,11,1,374
Closed fiscal 1985,288,11,2,3,5,1,266
"Pending September 30, 1985",124,8,2,0,6,0,108
,CE cases,CE cases,CE cases,CE cases,CE cases,CE cases,CE cases
"Pending October 1, 1984",• 59,0,0,0,7,2,50
Received fiscal 1985,47,0,0,0,5,1,41
On docket fiscal 1985,106,0,0,0,12,3,91
Closed fiscal 1985,51,0,0,0,2,0,49
"Pending September 30, 1985",55,0,0,0,10,3,42
,CG cases,CG cases,CG cases,CG cases,CG cases,CG cases,CG cases
"Pending October 1, 1984",• 16,0,0,0,1,0,15
Received fiscal 1985,28,0,0,0,0,0,28
On docket fiscal 1985,44,o,o,o,1,o,43
Closed fiscal 1985,38,0,0,0,1,0,37
"Pending September 30, 1985",6,0,0,0,0,0,6
,CP cases,CP cases,CP cases,CP cases,CP cases,CP cases,CP cases
"Pending October 1, 1984",•152,1,0,0,0,4,147
Received fiscal 1985,288,0,0,2,2,0,284
On docket fiscal 1985,440,1,0,2,2,4,431
Closed fiscal 1985,309,0,0,2,2,2,303
"Pending September 30, 1985",131,1,0,0,0,2,128
