row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14
10(k) notices of hearings issued,78,75,,,,75,,,,,,,,
Complaints Issued,4339,3638,2840,517,135,,6,4,,1,42,17,32,44
Backpay specifications issued,86,68,55,12,0,,0,0,0,,0,0,1,0
"Heanngs completed, total",1087,773,606,120,13,25,5,I,1,,I,0,1,0
Initial ULP heanngs,1018,728,565,117,12,25,5,I,,I,I,0,1,0
Backpay hearings,54,38,34,3,1,,0,,0,0,0,0,0,0
Other heanngs,15,7,7,0,0,,0,0,0,,0,0,0,0
"Decisions by administrative law judges, total",1103,880,699,148,12,,5,2,,I,4,4,2,3
Initial ULP decisions,1024,824,650,141,12,,,5,2,1,4,4,2,3
Backpay decisions,49,33,30,3,0,,,0,0,0,0,0,0,0
Supplemental decisions,30,23,19,4,0,,0,0,0,,0,0,0,0
"Decisions and orders by the Board, total",1634,1232,955,190,40,34,2,1,,1,8,0,0,1
Upon consent of parties,,,,,,,,,,,,,,
Initial decisions,135,96,46,30,20,,0,0,0,,0,0,0,0
Supplemental decisions,0,0,0,0,0,,0,0,0,0,,0,0,0
Adopting administrative law judges' decisions (no exceptions filed),,,,,,,,,,,,,,
Initial ULP decisions,355,287,232,47,6,,1,0,0,1,,0,0,0
Backpay decisions,0,0,0,0,0,,0,0,0,0,,0,0,0
Contested,,,,,,,,,,,,,,
Initial ULP decisions,1070,786,635,98,12,34,0,1,0,6,,0,0,0
Decisions based on stipulated record,27,21,14,2,1,,I,0,,1 1,,0,0,1
Supplemental ULP decisions,9,6,4,1,1,,0,0,0,,0,0,0,0
Backpay decisions,38,36,24,12,0,,0,0,0,,0,0,0,0
