row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16
Connecticut..........................................................,534,462,388,68,4,1,0,0,1,68,60,2,,2,0,2
Massachusetts......................................................,923,817,633,158,21,4,1,0,0,94,74,2,6 18,5,0,7
Maine....................................................................,115,105,86,18,0,1,0,0,0,9,5,2,2,0,0,1
New Hampshire....................................................,93,79,57,12,5,5,0,0,0,11,10,0,1,1,0,2
Rhode Island........................................................,153,126,110,15,1,0,0,0,0,24,19,0,5,0,0,3
Vermont................................................................,57,47,44,3,0,0,0,0,0,9,7,0,2,0,0,1
Region I..........................................................,1875,1636,1318,274,31,11,1,0,1,215,175,6,34,8,0,16
Delaware..............................................................,110,87,62,14,7,1,1,1,1,22,18,0,4,1,0,0
New Jersey............................................................,1377,1136,827,251,35,18,2,0,3,225,189,5,31,9,1,6
New York............................................................,3670,3167,2115,904,76,35,7,7,23,478,415,12,51,6,0,19
Puerto Rico..........................................................,424,353,296,56,0,0,0,0,1,65,59,2,4,1,0,5
Virgin Islands......................................................,23,15,14,1,0,0,0,0,0,6,5,0,1,1,0,1
Region II..........................................................,5604,4758,3314,1226,118,54,10,8,28,796,686,19,91,18,1,31
District Of Columbia............................................,166,135,84,47,0,0,0,0,4,29,27,1,1,0,0,2
Maryland..............................................................,550,466,380,78,8,0,0,0,0,83,78,0,5,1,0,0
Pennsylvania........................................................,1877,1571,1258,260,25,21,0,4,3,282,222,5,55,10,1,13
Virginia................................................................,368,322,274,42,5,0,0,1,0,45,37,1,7,0,0,1
West Virginia........................................................,387,328,271,54,3,0,0,0,0,58,44,1,13,1,0,0
Region III........................................................,3348,2822,2267,481,41,21,0,5,7,497,408,8,81,12,1,16
Alabama................................................................,472,420,364,55,1,0,0,0,0,52,45,1,6,0,0,0
Florida..................................................................,1296,1138,952,176,8,0,0,0,2,150,125,5,20,1,0,7
Georgia................................................................,471,407,290,116,1,0,0,0,0,63,50,2,11,1,0,0
Kentucky..............................................................,553,462,368,73,10,8,1,1,1,90,72,2,16,1,0,0
Mississippi............................................................,141,120,93,27,0,0,0,0,0,20,14,0,6,0,0,1
North Carolina......................................................,379,344,275,68,0,0,1,0,0,35,26,2,7,0,0,0
South Carolina......................................................,123,112,81,23,8,0,0,0,0,11,9,0,2,0,0,0
Tennessee............................................................,499,"463 3,466",364,99,0,0,0,0,0 3,35,25,0,10,0,0,1
Region IV........................................................,3934,,2787,637,28,8,2,1,,456,366,12,78,3,0,9
Illinois..................................................................,2135,1751,1158,434,90,44,4,0,21,372,297,22,53,9,0,3
Indiana..................................................................,774,682,524,144,7,4,1,0,2,90,62,4,24,1,0,1
Michigan..............................................................,2009,1710,1195,493,12,2,5,0,3,275,213,9,53,15,2,7
Minnesota............................................................,458,324,257,64,0,0,0,2,1,125,101,3,21,0,0,9
Ohio......................................................................,1876,1645,1252,362,17,3,2,1,8,206,156,8,42,5,5,15
Wisconsin............................................................,650,,413,136,8,3,1,1,1,83,62,0,21,1,0,3
Region V..........................................................,7902,"563 6,675",4799,1633,134,,13,4,36,,,46,214,31,7,38
,,135,107,28,0,56,0,0,,1151,891 11,,5,1,0,1 0
Arkansas.............................................................. Louisiana..............................................................,155 296,264,198,66,0,0 0,0,0,0 0,19 31,26,1 0,7,0,0,
