row_label,Total,Identification of filing party / AFL-CIO unions,Identification of filing party / Other national unions,Identification of filing party / Other local unions,Identification of filing party / Individuals,Identification of filing party / Employers
All cases,,,,,,
"Pending October 1, 1995",32221,18536,1282,1507,9375,1521
Received fiscal 1996,38775,21810,778,1587,12832,1768
On docket fiscal 1996,70996,40346,2060,3094,22207,3289
Closed fiscal 1996,35165,19467,809,1409,11786,1694
"Pending September 30, 1996",35831,20879,1251,1685,10421,1595
Unfair labor practice cases²,,,,,,
"Pending October 1, 1995",29729,16960,1203,1313,8918,1335
Received fiscal 1996,33107,17967,624,1220,11772,1524
On docket fiscal 1996,62836,34927,1827,2533,20690,2859
Closed fiscal 1996,29485,15645,648,1044,10684,1464
"Pending September 30, 1996",33351,19282,1179,1489,10006,1395
Representation cases³,,,,,,
"Pending October 1, 1995",2235,1500,76,171,394,94
Received fiscal 1996,5255,3665,139,349,947,155
On docket fiscal 1996,7490,5165,215,520,1341,249
Closed fiscal 1996,5280,3653,147,341,984,155
"Pending September 30, 1996",2210,1512,68,179,357,94
Union-shop deauthorization cases,,,,,,
"Pending October 1, 1995",63,,,,63,
Received fiscal 1996,113,,,,113,
On docket fiscal 1996,176,,,,176,
Closed fiscal 1996,118,,,,118,
"Pending September 30, 1996",58,,,,58,
Amendment of certification cases,,,,,,
"Pending October 1, 1995",14,5,0,4,0,5
Received fiscal 1996,22,17,0,5,0,0
On docket fiscal 1996,36,22,0,9,0,5
Closed fiscal 1996,24,18,0,4,0,2
"Pending September 30, 1996",12,4,0,5,0,3
Unit clarification cases,,,,,,
"Pending October 1, 1995",180,71,3,19,0,87
Received fiscal 1996,278,161,15,13,0,89
On docket fiscal 1996,458,232,18,32,0,176
Closed fiscal 1996,258,151,14,20,0,73
"Pending September 30, 1996",200,81,4,12,0,103
