Types of formal actions taken,Cases in which formal actions taken,Formal actions taken by type of case / Total formal actions taken,CA,CB,CD / Jurisdictional disputes,Unfair labor practices,CE,CG,CP,CA combined with CB,C combined with representation cases,Other C combinations
10(b) notices of hearings issued,85,4834,3904,417,129,70,19,18,7,133,139,44
Complaints issued,6247,,,,,,,,,,,
Backpay specifications issued,1549,,,,,,,,,,,
"Hearings completed, total",2066,1489,1005,132,23,,,6,,,,
Initial ULP hearings,2000,1381,1028,128,24,,45,1,5,2,44,84
Backpay hearings,56,36,28,4,,,,,,,,
Other hearings,30,22,16,,,,,,,,,
"Decisions by administrative law judges, total",1398,1243,941,126,26,,,,5,2,44,89
Initial decisions,1618,1133,856,104,24,,,1,2,2,43,81
Backpay decisions,73,47,37,5,,,,,,,,5
Supplemental decisions,24,15,11,3,,,,,,,,1
"Decisions and orders by the Board, total",2187,1766,1300,189,36,,,4,,5,12,55
Upon consent of parties,180,114,70,19,2,,,,,1,,
Initial decisions,170,,,,,,,,,,,
Supplemental decisions,10,,,,,,,,,,,
Adopting administrative law judges' decisions (no exceptions filed),597,,,,,,,,,,,
Initial ULP decisions,413,333,283,26,6,,,,,3,4,7
Backpay decisions,15,13,10,,,,,,,,,2
Contested,,,,,,,,,,,,
Initial decisions,1427,1018,741,83,17,,,4,,,,
Decisions based on stipulated record,152,62,45,6,,,,,,,6,39
Backpay decisions,71,59,46,8,,,,,,,,
