Stage and method of disposition,All C cases — Number of cases closed,All C cases — Percent of cases closed,CA cases — Number of cases closed,CA cases — Percent of cases closed,CB cases — Number of cases closed,CB cases — Percent of cases closed,CC cases — Number of cases closed,CC cases — Percent of cases closed,CD cases — Number of cases closed,CD cases — Percent of cases closed,CE cases — Number of cases closed,CE cases — Percent of cases closed,CP cases — Number of cases closed,CP cases — Percent of cases closed
Total number of cases closed,13319,100.0,8910,100.0,2628,100.0,1027,100.0,308,100.0,45,100.0,398,100.0
Before issuance of complaint,11141,83.7,7424,83.3,2211,84.0,813,79.2,269,97.1,40,100.0,354,88.9
"After issuance of complaint, before opening of hearing",653,4.9,481,5.4,74,2.9,81,7.9,3,1.0,1,2.2,13,3.1
"After hearing opened, before issuance of intermediate report",263,2.0,170,1.9,63,2.4,27,,,,,,,
"[Sub-rows under each major stage — Adjusted, Withdrawn, Dismissed, Compliance with stipulated decision, Consent decree, Other-disposed — captured in narrower form on this page; partial coverage]",,,,,,,,,,,,,,
"After intermediate report, before issuance of Board decision",113,.8,81,.9,16,.6,11,1.1,1,,,,4,1.0
After Board adopting intermediate report in absence of exceptions,68,.5,16,6,12,.5,4,.4,0,0,0,0,0,0
"After Board decision, before court decree",879,5.1,410,4.6,155,7.9,35,5.6,2,.6,5,27,23,5.8
"After circuit court decree, before Supreme Court action",248,2.6,271,3.0,43,1.6,27,2.6,3,1.0,1,2.2,3,.8
After Supreme Court action,54,.4,32,.3,3,.1,27,,0,0,0,0,0,0
