row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16
Connecticut..........................................................,427,368,298,69,1,0,0,0,0,56,44,2,10,1,0,2
Massachusetts......................................................,677,604,476,104,18,5,0,0,1,62,50,4,8,1,0,10
Maine....................................................................,63,42,39,3,0,0,0,0,0,17,14,1,2,0,0,4
New Hampshire....................................................,65,57,49,5,3,0,0,0,0,8,8,0,0,0,0,0
Rhode Island........................................................,95,76,59,12,3,1,0,0,1,17,14,0,3,2,0,0
Vermont................................................................,26,19,16,3,0,0,0,0,0,6,3,0,3,1,0,0
Region I..........................................................,1353,1166,937,196,25,6,0,0,2,166,133,7,26,5,0,16
Delaware..............................................................,37,28,19,9,0,0,0,0,0,9,9,0,0,0,0,0
New Jersey............................................................,1156,963,669,253,24,13,2,2,0,172,120,2,50,9,1,11
New York............................................................,3180,2771,1807,842,65,20,3,5,29,370,304,12,54,20,5,14
Puerto Rico..........................................................,417,338,269,67,0,0,0,2,0,63,47,1,15,4,0,12
Virgin Islands......................................................,18,15,11,4,0,0,0,0,0,3,3,0,0,0,0,0
Region II..........................................................,4808,4115,2775,1175,89,33,5,9,29,617,483,15,119,33,6,37
District Of Columbia............................................,174,133,93,36,2,0,2,0,0,39,30,2,7,1,0,1
Maryland..............................................................,397,304,228,76,0,0,0,0,0,88,71,4,13,4,0,1
Pennsylvania........................................................,1443,1236,945,256,21,9,1,2,2,188,133,4,51,7,0,12
Virginia................................................................,362,311,270,40,1,0,0,0,0,50,44,0,6,0,0,1
West Virginia........................................................,325,281,236,43,2,0,0,0,0,41,26,1,14,0,0,3
Region III........................................................,2701,2265,1772,451,26,9,3,2,2,406,304,11,91,12,0,18
Alabama................................................................,373,342,282,60,0,0,0,0,0,31,25,1,5,0,0,0
Florida..................................................................,758,673,523,147,1,0,0,0,2,82,60,1,21,0,0,3
Georgia................................................................,455,419,303,109,6,0,0,1,0,36,25,2,9,0,0,0
Kentucky..............................................................,372,337,263,72,1,1,0,0,0,32,27,1,4,3,0,0
Mississippi............................................................,99,88,65,23,0,0,0,0,0,10,7,0,3,0,0,1
North Carolina......................................................,361,341,266,75,0,0,0,0,0,20,16,0,4,0,0,0
South Carolina......................................................,110,98,77,21,0,0,0,0,0,12,8,0,4,0,0,0
Tennessee............................................................,359,328,222,106,0,0,0,0,0,28,21,0,7,0,0,3
Region IV........................................................,2887,2626,"2,001 853",613,8,1,0 2,1,2,251 256,189 199,5 9,57,3 16,0,7
Illinois.................................................................. Indiana..................................................................,1555,1271 685,518,339 152,47 9,19 4,2,1 0,10 0,106,86,0,48 20,3,2 0,10 6
,800,1331,,414,,,,2,,178,125,8,,,0,11
Michigan.............................................................. Minnesota............................................................,"1,525 354",283,905 211,66,6 3,0 0,2,,2 1,63,36,1,45 26,5 5,0,3
Ohio......................................................................,1568,1362,1034,295,21,7,1 2,1 1,2,188,140,7,41,7,0,11
Wisconsin............................................................,480,411,301,107,2,,0,0,1,64,29,4,,4,0,1
Region V..........................................................,6282,5343,3822,1373,88,0 30,9,5,16,855,615,29,31 211,40,2,42
Arkansas..............................................................,,,,,,,,,,,,,,,,0
,171,159,106,51,0,0,0,0,2,12,7,2,3,0,0,
Louisiana..............................................................,190,163,119,44,0,0,0,0,0,27,19,0,8,0,0,0
New Mexico........................................................ Oklahoma............................................................,125 183,105 162,96,9,0 1,0 0,0 0,0 1,0 0,20 17,17 11,1 1,2 5,0 1,0 0,0 3
,,,128,32,,,,,,,,,,,,
