row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11
AFL-CIO v. AFL-CIO v. AFL-CIO........,149,73,73,,,10,45,45,,,21
3 (or more)-union elections..................,240,162,74,0,88,12,45,45,0,0,21
Total RC elections................................,203445,61466,53494,3390,4582,27964,38539,34862,1174,2503,75476
C. Elections in RMcases,C. Elections in RMcases,C. Elections in RMcases,C. Elections in RMcases,C. Elections in RMcases,C. Elections in RMcases,C. Elections in RMcases,C. Elections in RMcases,C. Elections in RMcases,C. Elections in RMcases,C. Elections in RMcases,C. Elections in RMcases
AFL-CIO..................................................,756,67,67,,,17,170,170,,,502
Other local unions....................................,8,0,,,,,3,0,0,3,5
Other national unions..............................,448,205,,205,,181,3,,3,,59
1-union elections..................................,1212,272,67,205,0,198,176,170,3,3,566
AFL-CIO v. AFL-CIO............................,367,362,362,0,0,5,0,,,,
2-union elections..................................,367,362,362,0,0,5,0,0,0,0,0
Total RMelections..............................,1579,634,429,205,0,203,176,170,3,3,566
D. Elections in RD cases,D. Elections in RD cases,D. Elections in RD cases,D. Elections in RD cases,D. Elections in RD cases,D. Elections in RD cases,D. Elections in RD cases,D. Elections in RD cases,D. Elections in RD cases,D. Elections in RD cases,D. Elections in RD cases,D. Elections in RD cases
AFL-CIO..................................................,16605,6471,6471,,,3761,2162,2162,,,4211
Other local unions....................................,1202,72,,,72,55,478,,,478,597
Other national unions..............................,707,169,,169,,98,153,,153,,287
1-union elections..................................,18514,6712,6471,169,72,3914,2793,2162,153,478,5095
National v. National................................,92,92,0,92,0,0,0,,,,
AFL-CIO v. AFL-CIO............................,252,58,58,,,9,51,51,,,134
2-union elections..................................,344,150,58,92,0,9,51,51,0,0,134
AFL-CIO v. AFL-CIO v. AFL-CIO........,849,0,,,,,390,390,0,0,459
3 (or more)-union elections..................,849,0,0,0,0,0,390,390,0,0,459
Total RD elections..............................,19707,6862,6529,261,72,3923,3234,2603,153,478,5688
