Case No.,Union and company,Date petition for injunction filed,Type of petition,Temp. restraining order — Date issued,Temp. restraining order — Date lifted,Date temporary injunction granted,Date injunction denied,Date injunction proceedings dismissed or dissolved,Date Board decision and order
24-CC-24,"International Longshoremen's Assn., District Council of Ports of P.R. Local 1745 et al. (Puerto Rico Steamship Assn)","Sept 23, 1954",10 (l),,,"Oct 4, 1954",,"Mar 17, 1955","Feb 17, 1955"
21-CC-490,"AFL-Teamsters, Local 626 (Tawa Food Co.)","Sept 30, 1954",10 (l),,,"Oct 19, 1954",,,
10-CC-47,"AFL-Plumbers, Local 177 (Carver Corp.)","Sept 30, 1954",10 (l),,,"Oct 16, 1954",,"Feb 11, 1955",Settled.
"16-CC-47, 48","AFL-Teamsters Local 988 (American Iron & Machine Works, El Paso)","Oct 11, 1954",10 (l),,,,,,
21-CC-507,"AFL-Garment Workers, Ladies, Local 555 (James Knitting Mills)",,10 (l),"Oct 25, 1954","Oct 19, 1954",,,"Mar 22, 1955","Mar 11, 1955"
13-CC-153,"AFL-Carpenters, Locals 7 and 1583 (Harpor Mfg Co.)","Nov 2, 1954",10 (l),,,,,"Dec 2, 1954",Withdrawn.
14-CC-68,"AFL-Teamsters, Local 898 (Metal Goods Corp.)","Nov 16, 1954",10 (l),,,,,"Dec 16, 1954",Withdrawn.
22-CC-318,"CIO-Furniture Workers, Local 140 (Statfin Construction Corp.)","Nov 24, 1954",10 (l),,,,,"Dec 16, 1954","Dec 16, 1954"
6-CC-30,"AFL-Teamsters, Locals 496, 20, 32, 44 (F.S. Royster Guano Co.)","Dec 1, 1954",10 (l),,,,,"May 27, 1955",Settled.
1-CC-113,"AFL-Teamsters, Local 89 (Associated General Contractors of America)","Dec 7, 1954",10 (l),,,,,,Settled.
21-CC-100,"AFL-Plumbers, Local 482 et al. (Lewis Fund Co. Inc.)","Dec 20, 1954",10 (l),,,,,"Apr 5, 1955","Mar 2, 1955"
"14-CC-70, 72","AFL-Teamsters, Local 90 (Arnold Bakers Employees Assn.)","Dec 20, 1954",10 (l),,,,,"Jan. 5, 1955",
14-CC-78,"Chemical Workers Emergency Reorganization, Local 542 (Illinois Farm Supply)","Dec 20, 1954",10 (l),,,,,"Apr 14, 1955","Feb 2, 1955"
"13-CD-26, 27","AFL-Sheet Metal Workers, Local 1 and John Stahn and AFL-Plumbers, Pipes Trades Council 24 and Local 35 (Refrigeration & Air Conditioning Contractors of Penn & Mayer Furnace Co.)","Mar 24, 1955",10 (l),,,,,,
"35-CC-28, 29","AFL-Teamsters, Locals 138, 389 (Marsh Foodliners, Inc.)","Apr 11, 1955",10 (l),,,"May 3, 1955",,,
12-CC-38,"AFL-Electrical Workers, Local 124 (United Contractors Council)","Apr 12, 1955",10 (l),,,"May 12, 1955",,,
10-CC-87,"AFL-Teamsters, Local 377 (Ferguson-Steer Motor Co.)","Apr 19, 1955",10 (l),,,,,,
