row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10
"Total, all",7532,100 0,5262,100 0,593,100 0,1677,100 0,228,1000
"Certification issued, total",4692,62 3,3586,68 1,211,35 6,895,53 4,124,544
After,,,,,,,,,,
Consent election,120,1 6,70,1 3,3,05,47,28,11,48
Before notice of hearing,57,0 8,29,0 6,2,0 3,26,1 6,11,4 8
"After notice of hearing, before hearing closed",61,08,39,07,I,02,21,1 3,0,00
"After hearing closed, before decision",2,00,2,00,0,00,0,00,0,00
Stipulated election,3759,499,2883,548,162,273,714,426,85,373
Before notice of hearing,1132,150,758,144,60,10 I,314,187,70,307
"After notice of hearing, before hearing closed",2597,345,2099,399,102,172,396,236,15,66
"After hearing closed, before decision",30,04,26,0 5,0,00,4,0 2,0,00
Expedited election,7,0 1,I,00,5,0 8,1,0 1,0,00
Regional Director-directed election,786,104,617,It 7,41,69,128,76,28,123
Board-directed election,20,0 3,15,0 3,0,00,5,03,0,00
"By withdrawal, total",2156,286,1410,268,233,393,513,306,77,338
Before notice of hearing,912,12 I,426,8 1,159,268,327,195,71,31 1
"After notice of hearing, before hearing closed",1048,139,824,157,63,10 6,161,96,5,22
"After hearing closed, before decision",64,0 8,54,I 0,3,0 5,7,04,1,04
After Regional Director's decision and direction of election,131,1 7,106,20,7,1 2,18,1 1,0,00
After Board decision and direction of election,1,00,0,00,1,0 2,0,00,0,00
"By dismissal, total",684,9 1,266,51,149,25 1,269,160,27,11 8
Before notice of hearing,266,35,46,09,57,96,163,97,24,10 5
"After notice of hearing, before hearing closed",77,1 0,32,0 6,9,I 5,36,2 1,0,0 0
"After hearing closed, before decision",9,0 1,5,0 I,2,0 3,2,0 I,0,00
By Regional Director's decision,164,22,117,22,22,37,25,1 5,3,13
By Board decision,,2 2,,,,9 9,,,0,00
,168,,66,1 3,59,,43,2 6,,
