row_label,col_1,col_2,col_3,col_4,col_5,col_6
"Decisions on objections and/or challenges, total",434,417,376,7,34,4
By Regional Directors ......,80,71,61,3,7,
ByBoard .......... ............. .,354,346,315,4,27,4
In stipulated elections ..,324,316,286,4,26,2
No exceptions to Regional Directors' reports,182,177,156,3,18,
Exceptions to Regional Directors' reports,142,139,130,1,,
In directed elections (after transfer by Regional Director),27,27,26,0,1,2
Review of Regional Directors' supplemental decisions Request for review received,46,44,38,0,6,3
"Board action on request ruled upon, total",46,44,40,0,4,3
Granted,4,4,4,,,1
,,37,33,,4,
Denied,39,,,,,2
Remanded,3,3,3,,,
"Withdrawn after request granted, before Board review",0,0,0,0,0,0
Board decision after review. total,3,3,3,0,0,
Regional Directors' decisions: Affirmed ..........,0,,,,,
Modified,,,1,,,
Reversed,2,2,2,,,
