row_label,Cases in which formal actions taken,Formal actions taken by type of case / Total formal actions taken,Formal actions taken by type of case / RC,Formal actions taken by type of case / RM,Formal actions taken by type of case / RD,Formal actions taken by type of case / UD
"Hearings completed, total",918,900,823,16,61,6
Initial hearings,758,743,682,13,48,5
Hearings on objections and/or challenges,160,157,141,3,13,1
"Decisions issued, total",717,698,645,12,41,6
By Regional Directors,661,647,597,12,38,6
Elections directed,598,585,543,10,32,5
Dismissals on record,63,62,54,2,6,1
By Board,56,51,48,0,3,0
Transferred by Regional Directors for initial decision,2,2,2,0,0,0
Elections directed,2,2,2,0,0,0
Dismissals on record,0,0,0,0,0,0
Review of Regional Directors' decisions:,,,,,,
Requests for review received,376,349,312,4,33,1
Withdrawn before request ruled upon,23,22,19,1,2,0
"Board action on request ruled upon, total",349,321,285,6,30,1
Granted,54,48,42,0,6,1
Denied,287,265,236,6,23,0
Remanded,8,8,7,0,1,0
"Withdrawn after request granted, before Board review",1,1,1,0,0,0
"Board decision after review, total",54,49,46,0,3,0
Regional Directors' decisions:,,,,,,
Affirmed,26,24,23,0,1,0
Modified,8,8,8,0,0,0
Reversed,20,17,15,0,2,0
Outcome:,,,,,,
Election directed,52,47,45,0,2,0
Dismissals on record,2,2,1,0,1,0
