row_label,Total / Number,Total / Percent by type,By employer / Number,By employer / Percent by type,By union / Number,By union / Percent by type,By both parties / Number,By both parties / Percent by type
All representation elections,280,100.0,124,44.3,149,53.2,7,2.5
By type of case,,,,,,,,
RC cases,263,100.0,123,46.8,135,51.3,5,1.9
RM cases,7,100.0,1,14.3,5,71.4,1,14.3
RD cases,10,100.0,0,,9,90.0,1,10.0
By type of election,,,,,,,,
Consent elections,12,100.0,8,66.7,4,33.0,0,
Stipulated elections,180,100.0,72,40.0,104,57.8,4,2.2
Expedited elections,1,100.0,1,100.0,0,,0,
Regional director-directed elections,87,100.0,43,49.5,41,47.1,3,3.4
Board-directed elections,0,,0,,0,,0,
