row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12
"1,000 to 1,999....................................................",7054,5,0.3,99.7,0,0.0,1,0.2,1,1.3,3,0.4
"2,000 to 2,999....................................................",13987,6,0.3,100.0,2,0.4,3,0.6,0,0.0,1,0.1
"3,000 to 9,999....................................................",0,0,0.0,100.0,0,0.0,0,0.0,0,0.0,0,0.0
"Over 9,999..........................................................",0,0,0.0,100.0,0,0.0,0,0.0,0,0.0,0,0.0
,B. Decertification elections (RD),B. Decertification elections (RD),B. Decertification elections (RD),B. Decertification elections (RD),B. Decertification elections (RD),B. Decertification elections (RD),B. Decertification elections (RD),B. Decertification elections (RD),B. Decertification elections (RD),B. Decertification elections (RD),B. Decertification elections (RD),B. Decertification elections (RD)
Total RD elections.....................,27418,361,100.0,,44,100.0,63,100.0,8,100.0,246,100.0
Under 10............................................................,435,51,14.1,14.1,4,9.1,1,1.6,1,12.5,45,18.3
10 to 19..............................................................,1108,78,21.6,35.7,5,11.4,11,17.5,1,12.5,61,24.8
20 to 29..............................................................,1121,44,12.2,47.9,10,22.7,4,6.3,0,0.0,30,12.2
30 to 39..............................................................,1878,55,15.2,63.2,6,13.6,7,11.1,1,12.5,41,16.7
40 to 49..............................................................,1128,25,6.9,70.1,4,9.1,5,7.9,0,0.0,16,6.5
50 to 59..............................................................,1175,21,5.8,75.9,3,6.8,2,3.2,0,0.0,16,6.5
60 to 69..............................................................,909,15,4.2,80.1,0,0.0,5,7.9,1,12.5,9,3.7
70 to 79..............................................................,151,2,0.6,80.6,0,0.0,1,1.6,0,0.0,1,0.4
80 to 89..............................................................,715,8,2.2,82.8,2,4.5,4,6.3,0,0.0,2,0.8
90 to 99..............................................................,461,5,1.4,84.2,0,0.0,0,0.0,0,0.0,5,2.0
100 to 109..........................................................,834,8,2.2,86.4,3,6.8,4,6.3,0,0.0,1,0.4
110 to 119..........................................................,700,6,1.7,88.1,1,2.3,2,3.2,0,0.0,3,1.2
120 to 129..........................................................,240,2,0.6,88.6,0,0.0,1,1.6,0,0.0,1,0.4
130 to 139..........................................................,526,4,1.1,89.8,0,0.0,1,1.6,1,12.5,2,0.8
140 to 149..........................................................,0,0,0.0,89.8,0,0.0,0,0.0,0,0.0,0,0.0
150 to 159..........................................................,156,1,0.3,90.0,0,0.0,1,1.6,0,0.0,0,0.0
160 to 169..........................................................,584,4,1.1,91.1,1,2.3,2,3.2,0,0.0,1,0.4
170 to 199..........................................................,935,5,1.4,92.5,0,0.0,1,1.6,0,0.0,4,1.6
200 to 299..........................................................,2516,11,3.0,95.6,2,4.5,5,7.9,0,0.0,4,1.6
