Formal action taken,All cases,Unfair labor practice cases — All C cases,Unfair labor practice cases — CA cases,Unfair labor practice cases — Other C cases,Representation cases
Complaints issued,822,822,456,366,
Notices of hearing issued,3431,42,,,3389
Cases heard,2586,522,296,226,2064
Intermediate reports issued,439,439,248,191,
"Decisions issued, total",2493,605,305,300,1888
Decisions and orders,395,395,201,194,
Decisions and consent orders,210,210,104,106,
Elections directed,1526,,,,1526
Rulings on objections and/or challenges in stipulated election cases,135,,,,135
Dismissals on record,227,,,,227
