row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17
Food and kindred products,1455,1192,962,,221,8 1,0,0,0,245,199,5,41,,6,0,12
Tobacco manufacturers,4,3,I,2,0,,0,0,0,0 I,1,0,0,,0,0,0
Textile mill products,171,154,133,,21,0,0,0,0,0,15,10,1,4,0,0,2
Apparel and other finished products made from fabric and,,,,,,,,,,,,,,,,,
similar materials .,135,122,100,22,,0,0,0,0,0,12 7,2,,3,0,0,1
Lumber and wood products (except furniture),310,242,212,,28,2,0,0,0,0,65,54,1,10,2,0,1
Furniture and fixtures .,232,199,173,,22,3,0,0,0,1,33,26,1,6,0,0,0
Paper and allied products,414,357,279,,77,1,0,0,0,0,55,46,1,8,0,0,2
"Printing, publishing, and allied products",714,,609,499,101,8,1,0,0,0,88,50,5,33•,3,1,13
Chemicals and allied products,556,,457,387,63,5,1,0,0,I,97,78,3,16,I,0,I
Petroleum refining and related industries,173,,151,132,18,1,0,0,0,0,21,19,0,2,0,0,I
Rubber and miscellaneous plastic products,.391,,326,285,41,0,0,0,0,0,63,46,2,15,1,0,1
Leather and leather products,22,,20,16,4,0,0,0,0,0,2,2,0,0,0,0,0
"Stone, clay, glass, and concrete products",573,,457,367,79,9,0,0,0,2,113,93,0,20,I,0,2
Primary metal industries,,1002,878,683,186,9,0,0,0,0,117,97,1,19,1,1,5
Fabricated metal products (except machinery and transport- ation equipment),964,819,,672,141,4,2,0,0,0,137,104,3,30,3,0,5
Machinery (except electrical),,851,709,541,127,18,18,0,0,5,132,104,2,26,5,0,5
"Electrical and electronic machinery, equipment and supplies",573,514,,406,104,2,0,I,0,I,52,34,3,15,I,0,6
Aircraft and parts .,168,157,88,,69,0,0,0,0,0,10,9,0,1,1,0,0
Ship and boat building and repairing,121,109,,89,19,0,0,0,0,1,12,10,0,2,0,0,0
Automotive and other transportation equipment,1037,921,607,,290,16,4,1,0,3,III,99,1,II,2,0,3
"phic, medical, and optical .",128,98,72,,26,0,0,0,0,0,30,26,0,4,0,0,0
Miscellaneous manufactunng industries,215,150,120,,30,0,0,0,0,0,62,49,1 12,,1,0,2
Manufactunng,10209,8644,6824,,1691,86,27,2,0,14,1473,1163,32 278,,28,2,62
Metal mining,53,46,41,,5,0,0,0,0,0 I,7,5,0,2,0,0,0
Coal mining Oil and gas extraction,101,95 26,71,,17 8,6 1,0,0 0,0 0,,6 13,5 9,0 0,1,0 0,0 0_,0 0
and quarrying of nonmetallic minerals (except fules),39,,17,,,,0,,,0,,,,4,1,,
Mining,91,73,62,,10,0,0,0,0,,17,14,0,3,,0,0
,,,,,40,,,0,0,1,,33,,10,1,0,0
Mining,284,240,191,,,7,0,10,0,2,43,,0,,,,
Construction .,4564,3925,2989,,544,225,99,,,58,630,537,42,51,3,0,6
