row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15
AFL-CIO,2649,426,1129,1129,,,,1520,175230,57380,57380,,,,117.850
Teamsters,1322,372,492,,492,,,830,42462,12843,,12843,,,29619
Other national unions Other local unions,122 237,459 515,56 122,,,56 --,- 122,66 115,"7,919 12,472","2,250 4,733",,,2250,"- 4,733","5,669 7,739"
1-union elections,4330,41 6,1799,1129,492,56,122,2531,238083,77206,57380,12 843,2 250,4733,160877
AFL-CIO v AFL-CIO,30,567,17,17,,,,13,5858,3050,3050,,,,2808
AFL-CIO v Teamsters,50,820,41,19,22,,,9,3045,2062,717,1345,,,983
AFL-CIO v National,15,467,7,,,,,8,1922,197,77,,120,,1725
AFL-CIO v Local,60,967,58,35,,,23,2,7144,6912,4583,,,2329,232
Teamsters v National,2,500,1,,1,0,,1,506,16,,16,0,,490
Teamsters v Local,9,100 0,9,,,,3,0,347,347,,138,,209,0
Teamsters v Teamsters,2,00,0,,0,,,2,74,0,,0,,,74
National v Local,5,800,,,,1,3,1,152,134,,,9,125,18
Local v Local,13,846,11,,,,11,2,1.074,1041,,,,1041,33
2-union elections,186,796,148,75,29,4,40,38,20122,13759,8427,1499,129,3704,6363
AFL-CIO v AFL-CIO v Teamsters,2,000,2,0,,,,0,257,257,0,257,,,0
AFL-CIO v AFL-CIO v National,1,100 0,1,0,,1,,0,710,710,0,,710,,0
AFL-CIO v Teamsters v Teamsters,1,1000,1,0,,,,0,67,67,0,,,,0
3 (or more)-union elections,4,000,4,0,3,1,0,0,1034,1034,0,324,710,0,0
Total representation elections,4520,432,1951,1204,524,61,162,2569,259239,91999,65807,14666,3089,8437,167240
