Case No.,Union and company,Date petition for injunction filed,Type of petition,Temporary restraining order — Date issued,Temporary restraining order — Date lifted,Date temporary injunction granted,Date injunction denied,Date injunction proceedings dismissed or dissolved,Date Board decision and order
8-CD-12,*American Wire Weavers Protective Association (The Lindsay Wire Weaving Co.),"Nov. 27, 1957",10 (l),,,,,"Dec. 30, 1957","Mar. 24, 1958"
21-CC-279,"Bakery Workers, Local 400 (Beaudry Bros. Candy Co.)","Dec. 2, 1957",10 (l),,,"Dec. 30, 1957",,"May 12, 1958","Apr. 1, 1958"
5-CC-122,"*Teamsters, Local 162 (Alling & Cory Co.)","Dec. 2, 1957",10 (l),,,"Dec. 16, 1957",,,
17-CC-87,Carpenters (National Door & Trim Co.),"Dec. 12, 1957",10 (l),,,,,"Mar. 5, 1958",
17-CC-60,"*Teamsters, Locals 554 and 147 (Clark Bros. Transfer Co.)","Dec. 11, 1957",10 (l),,,,,,Settled.
9-CC-152,"Brewers, Wholesale Employees, District 65 (Cellan Sloan, Inc.)","Dec. 19, 1957",10 (l),,,,,,
"2-CC-281, 282","Electrical Workers, Local 11 (Hydro Co., d/b/a Paul Gordon Corp.)","Dec. 17, 1957",10 (l),,,,,"Apr. 7, 1958","May 28, 1958"
2-CC-448,"Marines Union (Moore-McCormack Lines, Inc.)","Dec. 26, 1957",10 (l),,,,,,
"19-CC-104, 106","Carpenters, Local 2247 (Fuller Paint & Glass Co.)","Dec. 27, 1957",10 (l),,,,"Jan. 5, 1958","June 14, 1958","May 15, 1958"
18-CD-118,"*Teamsters, Local 442, 733 (Rudy Schroeder Co.)","Dec. 27, 1957",10 (l),,,,,,"Nov. 19, 1958"
"32-CC-31, 32","Radio Artists (L.B. Wilson, Inc.)","Dec. 27, 1957",10 (l),,,,"Jan. 10, 1958",,
21-CC-270,"Longshoremen & Warehousemen Union, Fishermen's Union, Local 33 (Seine & Line Fishermen's Union of San Pedro)","Jan. 8, 1958",10 (l),,,,,"Mar. 31, 1958","Mar. 24, 1958"
2-CC-449,"Carpenters, Local 1216 (Bonded Freightways, Inc.)","Jan. 14, 1958",10 (l),,,,,"Jan. 23, 1958",
1-CC-196,"*Teamsters, Local 340 (Viner Brothers, Inc.)","Feb. 5, 1958",10 (l),,,"Feb. 20, 1958",,"June 21, 1958","Apr. 1, 1958"
13-CC-159,Typographical Union and Local 16 and its male committee (Worcester Telegram Publishing Co.),"Feb. 5, 1958",10 (l),,,,,,
16-CC-84,"*Teamsters, Local 488 (Page Airways, Inc.)","Feb. 7, 1958",10 (l),,,"Feb. 7, 1958","Feb. 11, 1958",,
8-CC-46,"Sheet Metal Workers Locals 70, 65, 5, 105 and 73 (Burt Manufacturing Co.)","Feb. 25, 1958",10 (l),,,"Apr. 23, 1958",,,
