Status,Identification of filing party — Total,Identification of filing party — AFL-CIO unions,Identification of filing party — Teamsters,Identification of filing party — Other national unions,Identification of filing party — Other local unions,Identification of filing party — Individuals,Identification of filing party — Employers
"Pending October 1, 1987",1800,1105,446,61,187,1,
Received fiscal 1988,5700,3548,1538,122,492,0,
On docket fiscal 1988,7500,4653,1984,183,679,1,
Closed fiscal 1988,5451,3389,1462,137,463,0,
"Pending September 30, 1988",2049,1264,522,46,216,0,1
"Pending October 1, 1987",177,,,,,,177
Received fiscal 1988,392,,,,,,392
On docket fiscal 1988,569,,,,,,569
Closed fiscal 1988,395,,,,,,395
"Pending September 30, 1988",174,,,,,,174
"Pending October 1, 1987",432,11,1,0,3,417,
Received fiscal 1988,1256,0,0,0,0,1256,
On docket fiscal 1988,1688,11,1,0,3,1673,
Closed fiscal 1988,1264,8,0,0,1,1255,
"Pending September 30, 1988",424,3,1,0,2,418,
