row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10
Total,,,,,,100 0,,100 0,1603,100 0
1-9,1079,23 1,603,31 3,110,14 1,58,163,308,19 2
10-19,856,18 4,405,21 0,118,15 1,46,13 0,287,18 0
20-29,545,11 7,219,11 4,86,11.0,41,11 5,199,124
30-39,322,6 9,126,6 5,61,7 8,21,5 9,114,7 1
40-49,249,5 3,102,5 3,42,5 4,15,4 2,90,5 6
50-59,196,4 2,68,3 5,43,5 5,18,5 1,67,4 2
60-69,160,34,55,29,34,43,20,56,51,32
70-79,123,2 6,38,2 0,26,3 3,10,2 8,49,3 1
80-89,102,2 2,36,1 9,17,2 2,10,2 8,39,2 4
90-99,92,20,27,1 4,17,2 2,14,4 0,34,2 1
100-149,273,5 9,78,4 0,56,7 2,21,5 9,118,7 4
150-199,161,3 4,47,2 4,35,4 5,14,4 0,65,4 0
200-299,179,3 8,38,20,53,6 8,18,5 1,70,4 4
300-399,92,20,28,1 5,24,3 1,11,3 1,29,1 8
400-499,41,9,12,.6,8,1 0,6,1 7,15,.9
500-599,41,.9,11,6,14,1 8,4,11,12,7
600-799,45,1 0,7,4,11,1 4,5,1 4,22,1 4
800-999,27,.6,7,.4,8,1 0,2,6,10,6
"1,000-1,999",50,11,11,6,13,1 7,8,2 2,18,11
"2,000-2,999",16,3,3,2,3,4,7,20,3,.2
"3,000-3,999",6,1,1,(1),1,1,3,.8,1,.1
"4,000-4,999",3,.1,0,.0,0,0,1,3,2,.1
"5,000-9,999",4,1,2,1,0,.0,2,.6,0,.0
"10,000-15,000",1,(1),0,0,1,.1,0,.0,0,.0
