Types of formal actions taken,Cases in which formal actions taken,Formal actions taken by type of case / Total formal actions taken,Formal actions taken by type of case / CA,Formal actions taken by type of case / CB,Formal actions taken by type of case / CC,Formal actions taken by type of case / CD / Jurisdictional disputes,Formal actions taken by type of case / CD / Unfair labor practices,Formal actions taken by type of case / CE,Formal actions taken by type of case / CG,Formal actions taken by type of case / CP,Formal actions taken by type of case / CA combined with CB,Formal actions taken by type of case / C combined with representation cases,Other C combinations
10(k) notices of hearings issued,35,35,,,,33,,,,,,,
Complaints issued,3761,2556,2288,175,32,,,3,1,0,10,14,26
Compliance specifications issued,188,79,76,2,0,,,0,0,0,0,1,0
"Hearings completed, total",793,400,351,23,2,0,,0,1,0,1,3,15
Initial ULP hearings,700,369,320,23,2,0,,0,1,0,1,3,15
Backpay hearings,8,7,7,0,0,,,0,0,0,0,0,0
Other hearings,85,24,24,0,0,,,0,0,0,0,0,0
"Decisions by administrative law judges, total",981,398,345,23,4,0,,0,3,0,1,7,12
Initial ULP decisions,775,342,294,20,4,0,,0,2,0,1,6,12
Backpay decisions,11,5,5,0,0,,,0,0,0,0,0,0
Supplemental decisions,195,51,46,3,0,0,,0,1,0,0,1,0
"Decisions and orders by the Board, total",1228,607,518,33,3,11,0,0,0,2,7,31,2
Upon consent of parties:,,,,,,,,,,,,,
Initial decisions,24,14,11,0,1,0,0,0,0,0,1,1,0
Supplemental decisions,22,9,8,0,0,0,0,0,0,0,0,1,0
Adopting administrative law judges' decisions (no exceptions filed):,,,,,,,,,,,,,
Initial ULP decisions,189,106,91,8,1,0,0,0,0,0,0,2,4
Backpay decisions,1,1,1,0,0,0,0,0,0,0,0,0,0
Supplemental decisions,9,5,2,3,0,0,0,0,0,0,0,0,0
Contested:,,,,,,,,,,,,,
Initial ULP decisions,912,428,367,20,0,11,0,0,0,1,2,26,1
Decisions based on stipulated record,7,7,6,1,0,0,0,0,0,0,0,0,0
Initial ULP decisions,31,16,11,1,1,0,0,0,0,0,0,3,0
Supplemental decisions,33,21,20,0,0,0,0,0,1,0,0,0,0
