Affiliation of participating unions,Number of elections — Total,Number of elections — In which representation rights were won by — AFL-CIO affiliates,Number of elections — In which representation rights were won by — Unaffiliated unions,Number of elections — In which no representative was chosen,Number of employees involved (number eligible to vote) — Total,Number of employees involved — In units in which representation rights were won by — AFL-CIO affiliates,Number of employees involved — In units in which representation rights were won by — Unaffiliated unions,Number of employees involved — In units where no representative was chosen,Total valid votes cast
Total,4337,2131,505,1701,331217,152925,28409,154883,315428
1-union elections,3177,1792,322,1385,238334,107545,25233,130809,213790
1-union elections — AFL-CIO,1792,1792,,1385,107545,107545,,10755,102594
1-union elections — Unaffiliated,322,,322,227,25233,,17654,10755,10755
2-union elections,1099,260,199,295,85235,30077,27526,21866,78385
2-union elections — AFL-CIO v. AFL-CIO,256,119,,61,29235,19012,,1653,26586
2-union elections — AFL-CIO v. unaffiliated,236,119,21,116,20277,30217,3335,5072,45455
2-union elections — Unaffiliated v. unaffiliated,16,12,,9,3212,1926,,1286,2985
3-union elections,55,20,5,21,,,,,
3-union elections — AFL-CIO v. AFL-CIO v. AFL-CIO,8,5,,2,,,,,
3-union elections — AFL-CIO v. AFL-CIO v. unaffiliated,8,2,3,2,,,,,
4-union elections — AFL-CIO v. AFL-CIO v. AFL-CIO v. AFL-CIO,1,1,,,132,132,,,127
