Industrial group,Elections / Number,Elections / Percent,Winner — A.F. of L. / Number,Winner — A.F. of L. / Percent,Winner — C.I.O. / Number,Winner — C.I.O. / Percent,Winner — Unaffiliated / Number,Winner — Unaffiliated / Percent,Winner — No union / Number,Winner — No union / Percent,Eligible voters / Number,Eligible voters / Percent,Valid votes cast / Number,Valid votes cast / Percent
Total,3222,100.0,1188,36.9,552,17.1,617,19.1,885,26.9,384565,100.0,333900,100.0
Manufacturing,2341,72.7,809,34.6,467,19.9,430,18.4,615,26.3,305235,79.4,266728,79.9
Manufacturing — Food and kindred products,265,8.9,178,52.0,30,11.0,30,11.1,32,11.9,21807,5.7,18396,5.6
Manufacturing — Textile-mill products,129,4.0,6,4.7,56,43.4,14,10.9,53,41.1,40381,10.5,34829,10.4
Manufacturing — Apparel and other finished products from fabrics and similar materials,55,1.7,13,23.6,6,10.9,26,47.3,10,18.2,6711,1.7,6211,1.9
Manufacturing — Primary metal industries,123,3.8,31,25.2,79,64.2,5,4.1,8,6.5,26107,6.8,23159,6.9
Manufacturing — Machinery (except electrical),345,10.7,60,17.4,117,33.9,14,4.1,154,44.6,24358,6.4,21193,6.3
"Manufacturing — Electrical machinery, equipment and supplies",167,5.2,12,7.2,121,72.5,15,9.0,19,11.4,28063,7.3,25032,7.5
Manufacturing — Transportation equipment,125,3.9,21,16.8,41,32.8,32,25.6,31,24.8,25317,6.6,23851,7.1
