Types of formal actions taken,Cases in which formal actions taken,Formal actions taken by type of case / Total formal actions taken,Formal actions taken by type of case / RC,Formal actions taken by type of case / RM,Formal actions taken by type of case / RD,Formal actions taken by type of case / UD
"Hearings completed, total",1455,1377,1031,128,218,7
Initial hearings,1224,1159,842,120,197,6
Hearings on objections and/or challenges,231,218,189,8,21,1
"Decisions issued, total",1193,1179,869,110,200,8
By regional directors,1082,1078,785,105,188,6
Elections directed,928,928,680,87,161,5
Dismissals on record,154,150,105,18,27,1
By Board,111,101,84,5,12,2
Transferred by regional directors for initial decision,39,19,17,0,2,0
  Elections directed,22,12,10,0,2,0
  Dismissals on record,17,7,7,0,0,0
Review of regional directors' decisions,,,,,,
  Requests for review received,592,530,509,9,12,2
  Withdrawn before request ruled upon,0,0,0,0,0,0
"  Board action on request ruled upon, total",518,476,400,7,69,61
    Granted,72,68,58,0,10,0
    Denied,443,405,339,7,59,61
    Remanded,3,3,3,0,0,0
"  Withdrawn after request granted, before Board review",,,,,,
"  Board decision after review, total",86,82,75,2,5,0
  Regional directors' decisions,,,,,,
    Affirmed,43,41,36,2,3,0
    Modified,26,13,11,0,2,0
    Reversed,17,8,8,0,0,0
  Outcome — Election directed,69,66,61,0,5,0
  Outcome — Dismissals on record,17,16,14,0,2,0
